node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,sunshine_duration,uv_index_max,precipitation_sum,snowfall_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max
0,2025-01-01 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,5.524,0.174,2.4989998,7922.9414,1.1,2.8,0.28,2.3999999,9.0,68.0,27.44513,53.639996
0,2025-01-02 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,0.424,-2.976,-0.6301667,21600.0,1.9,0.6,0.21000001,0.3,1.0,12.0,28.58545,58.679996
0,2025-01-03 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-0.726,-3.376,-2.4968338,8895.488,1.9,0.2,0.14,0.0,1.0,18.0,25.364037,52.199997
0,2025-01-04 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-2.876,-6.026,-4.6405835,24017.768,1.7,0.0,0.0,0.0,0.0,6.0,32.489876,66.24
0,2025-01-05 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-2.226,-6.976,-4.9926662,28240.896,2.3,0.0,0.0,0.0,0.0,3.0,26.099379,63.36
0,2025-01-06 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-4.376,-9.026,-6.782251,276.13724,1.55,0.1,0.07,0.0,1.0,2.0,17.974781,30.239998
0,2025-01-07 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-4.276,-8.176,-6.561417,20982.48,2.0,0.4,0.21000001,0.1,4.0,7.0,22.668568,43.199997
0,2025-01-08 04:00:00+00:00,6,"[1, 99, 5, 140, 93]",42.995127659423815,-78.87561906912143,-6.676,-9.876,-8.226001,25715.584,2.05,0.0,0.0,0.0,0.0,2.0,20.68356,40.32
1,2025-01-01 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,5.5565,0.2565,2.56275,5025.327,1.1,2.3,0.28,1.9000001,8.0,68.0,27.021591,53.28
1,2025-01-02 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,0.4565,-2.7935,-0.5643333,22225.186,1.9,0.6,0.28,0.20000002,1.0,12.0,28.241077,58.32
1,2025-01-03 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-0.6435,-3.1935,-2.2039163,9442.461,1.9,0.2,0.07,0.1,2.0,18.0,26.758923,52.199997
1,2025-01-04 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-2.6435,-5.5435004,-4.3789167,24104.232,1.7,0.0,0.0,0.0,0.0,7.0,32.142982,66.6
1,2025-01-05 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-2.2935,-6.6935,-4.5976663,28555.865,2.3,0.0,0.0,0.0,0.0,3.0,26.250393,63.72
1,2025-01-06 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-3.9935,-8.4435,-6.0768332,1313.0143,1.55,0.1,0.07,0.0,1.0,2.0,18.58451,29.88
1,2025-01-07 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-3.5935,-7.3935003,-5.8893337,18019.463,2.0,0.4,0.21000001,0.1,4.0,7.0,22.608458,44.28
1,2025-01-08 04:00:00+00:00,4,"[0, 41, 2, 146]",42.999624564959454,-78.85284374956301,-6.5435004,-9.893499,-8.051834,18744.662,2.05,0.0,0.0,0.0,0.0,2.0,20.808498,39.96
140,2025-01-01 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,5.5825,0.2325,2.5575,7922.9414,1.1,2.8,0.28,2.3999999,9.0,70.0,27.44513,53.639996
140,2025-01-02 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,0.4825,-2.9175,-0.57166666,21600.0,1.9,0.6,0.21000001,0.3,1.0,11.0,28.58545,58.679996
140,2025-01-03 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-0.6675,-3.3174999,-2.4383333,8895.488,1.9,0.2,0.14,0.0,1.0,17.0,25.364037,52.199997
140,2025-01-04 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-2.8174999,-5.9675,-4.582083,24017.768,1.7,0.0,0.0,0.0,0.0,7.0,32.489876,66.24
140,2025-01-05 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-2.1675,-6.9175,-4.9341674,28240.896,2.3,0.0,0.0,0.0,0.0,3.0,26.099379,63.36
140,2025-01-06 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-4.3175,-8.9675,-6.7237506,276.13724,1.55,0.1,0.07,0.0,1.0,2.0,17.974781,30.239998
140,2025-01-07 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-4.2175,-8.117499,-6.502917,20982.48,2.0,0.4,0.21000001,0.1,4.0,7.0,22.668568,43.199997
140,2025-01-08 04:00:00+00:00,3,"[0, 16]",43.008048499999994,-78.873499,-6.6175003,-9.8175,-8.1675,25715.584,2.05,0.0,0.0,0.0,0.0,3.0,20.68356,40.32
93,2025-01-01 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,5.537,0.187,2.4953337,4862.83,1.1,2.6,0.35,2.1000001,9.0,66.0,26.727423,52.92
93,2025-01-02 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,0.33699998,-2.913,-0.60050005,22767.77,1.8,0.3,0.14,0.10000001,1.0,13.0,27.210379,56.88
93,2025-01-03 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-0.663,-3.263,-2.471333,13211.572,1.65,0.2,0.14,0.0,1.0,17.0,23.177402,51.12
93,2025-01-04 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-2.713,-6.013,-4.78175,24056.21,1.95,0.0,0.0,0.0,0.0,6.0,31.700449,66.24
93,2025-01-05 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-2.313,-6.963,-4.942167,27712.988,2.25,0.0,0.0,0.0,0.0,2.0,25.44566,63.72
93,2025-01-06 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-4.313,-8.763,-6.498417,822.34186,1.55,0.0,0.0,0.0,0.0,2.0,18.892282,30.960001
93,2025-01-07 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-3.963,-7.713,-6.23175,20927.82,2.05,0.5,0.35,0.0,4.0,7.0,22.027763,43.92
93,2025-01-08 04:00:00+00:00,6,"[0, 43, 45, 117, 94]",42.98090031145681,-78.87527019512933,-6.663,-9.712999,-7.854667,23345.957,2.15,0.0,0.0,0.0,0.0,2.0,20.497883,41.039997
99,2025-01-01 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,5.5565,0.2565,2.5710835,5784.533,1.1,2.6000001,0.28,2.1999998,9.0,70.0,27.086262,54.0
99,2025-01-02 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,0.4565,-2.8935,-0.5935,21641.164,1.9,0.6,0.21000001,0.3,1.0,11.0,28.387545,58.679996
99,2025-01-03 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-0.6935,-3.3435,-2.3101664,9223.825,1.9,0.0,0.0,0.0,0.0,17.0,28.410364,52.92
99,2025-01-04 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-2.9435,-5.5935,-4.4684997,24176.293,1.7,0.0,0.0,0.0,0.0,7.0,31.700449,66.24
99,2025-01-05 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-2.4435,-6.7435,-4.745583,28345.148,2.3,0.0,0.0,0.0,0.0,3.0,25.44566,63.36
99,2025-01-06 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-4.0935,-8.9435,-6.4685,0.0,1.55,0.2,0.14,0.0,2.0,2.0,17.873556,30.599998
99,2025-01-07 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-4.2935004,-8.143499,-6.547667,20973.564,2.0,0.3,0.21000001,0.0,3.0,7.0,22.253124,44.28
99,2025-01-08 04:00:00+00:00,3,"[0, 16, 6]",43.019881610331375,-78.88250188656937,-6.6435003,-9.6935,-7.9497495,23688.736,2.05,0.0,0.0,0.0,0.0,3.0,20.188908,44.639996
5,2025-01-01 04:00:00+00:00,8,"[0, 6, 43, 90, 91]",42.98137476133686,-78.91279784351295,5.5435004,0.1935,2.4914167,6653.08,1.1,3.0,0.28,2.6,8.0,67.0,26.795223,52.92
5,2025-01-02 04:00:00+00:00,8,"[0, 6, 43, 90, 91]",42.98137476133686,-78.91279784351295,0.3435,-2.9065,-0.5835833,22157.172,1.8,0.2,0.07,0.1,1.0,14.0,27.553526,56.519997
5,2025-01-03 04:00:00+00:00,8,"[0, 6, 43, 90, 91]",42.98137476133686,-78.91279784351295,-0.8565,-3.5565,-2.4398334,13646.1875,1.65,0.2,0.14,0.0,1.0,17.0,24.387177,51.12
