node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,icy_label,ice_thickness,area_id,icy_label_lag1,icy_label_lag2,icy_label_lag3,temperature_max_lag1,temperature_max_lag2,temperature_max_lag3,temperature_min_lag1,temperature_min_lag2,temperature_min_lag3,temperature_mean_lag1,temperature_mean_lag2,temperature_mean_lag3,dewpoint_mean_lag1,dewpoint_mean_lag2,dewpoint_mean_lag3,dewpoint_max_lag1,dewpoint_max_lag2,dewpoint_max_lag3,dewpoint_min_lag1,dewpoint_min_lag2,dewpoint_min_lag3,humidity_mean_lag1,humidity_mean_lag2,humidity_mean_lag3,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_lag3,rain_sum_lag1,rain_sum_lag2,rain_sum_lag3,snowfall_sum_lag1,snowfall_sum_lag2,snowfall_sum_lag3,wind_speed_10m_max_lag1,wind_speed_10m_max_lag2,wind_speed_10m_max_lag3,shortwave_radiation_sum_lag1,shortwave_radiation_sum_lag2,shortwave_radiation_sum_lag3,cloud_cover_mean_lag1,cloud_cover_mean_lag2,cloud_cover_mean_lag3,icy_base_lag1,icy_base_lag2,icy_base_lag3,severity_lag1,severity_lag2,severity_lag3,pavement_temp_lag1,pavement_temp_lag2,pavement_temp_lag3,ice_thickness_lag1,ice_thickness_lag2,ice_thickness_lag3,temperature_max_roll3_mean,temperature_min_roll3_mean,temperature_mean_roll3_mean,dewpoint_mean_roll3_mean,dewpoint_max_roll3_mean,dewpoint_min_roll3_mean,humidity_mean_roll3_mean,precipitation_sum_roll3_mean,rain_sum_roll3_mean,snowfall_sum_roll3_mean,wind_speed_10m_max_roll3_mean,shortwave_radiation_sum_roll3_mean,cloud_cover_mean_roll3_mean,icy_base_roll3_mean,severity_roll3_mean,pavement_temp_roll3_mean,ice_thickness_roll3_mean,consecutive_icy_days,freeze_thaw,split
3,2026-01-22 04:00:00+00:00,4,"[1, 10, 12]",38.98326039999999,-77.0154572,13.011499,3.5115001,7.2156663,-7.918888,-1.5975832,-10.254313,33.875,0.0,0.0,0.0,18.448023,10.57,65.083336,0,0,0.6,0,0.911500120162964,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.5305,5.1115003,18.9305,5.5305004,-9.3885,11.330501,9.682582,-2.253083,13.855502,4.797717,-13.522344,7.1028705,8.563139,-9.812983,10.438044,-1.20946,-16.702875,0.7526919,72.75,44.916668,64.958336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.237038,21.9718,13.084402,7.58,11.39,7.87,71.208336,15.458333,69.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9577224045304584,-11.988500213623048,8.720598030069272,0.0,0.0,0.0,12.190833433333333,2.4908337999999994,7.095000333333334,-0.5405855000000003,3.0627333333333326,-5.719881033333334,60.87500133333333,0.0,0.0,0.0,16.097746666666666,8.94666666666667,51.88888966666667,0.0,0.3333333333333333,-0.1033932596744404,0.0,0.0,0,val
4,2026-01-22 04:00:00+00:00,4,"[8, 1, 11, 21]",38.97550973836959,-76.99342485021606,13.1545,3.6545,7.3586674,-7.792626,-1.4678677,-10.12848,33.875,0.0,0.0,0.0,18.448023,10.57,65.083336,0,0,0.6,0,1.0545000076293944,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.128,5.2545004,18.328,5.6280003,-9.2455,11.428,9.548834,-2.1100833,13.8905,5.0623302,-13.392246,7.3772025,8.85374,-9.680878,10.9483795,0.39224327,-16.572348,-0.6957832,74.375,44.916668,66.083336,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,9.605998,21.9718,13.004922,6.92,11.39,7.11,62.791668,15.458333,68.791664,0.0,0.0,0.0,0.0,1.0,1.0,2.9046413201528294,-11.84549961090088,8.641747636904453,0.0,0.0,0.0,11.903500133333333,2.6035001,7.109750233333334,-0.3175711000000006,3.3737471666666656,-5.62529597666667,61.791667999999994,0.03333333333333333,0.03333333333333333,0.0,14.860906666666665,8.473333333333336,49.01388833333334,0.0,0.6666666666666666,-0.0997035512812016,0.0,0.0,0,val
7,2026-01-22 04:00:00+00:00,3,"[8, 1, 12]",38.99412540282655,-76.99254230139672,12.7045,3.1545,7.2295,-7.823389,-1.4271079,-10.529856,34.041668,0.0,0.0,0.0,19.130875,10.73,65.791664,0,0,0.3,0,0.8545000076293945,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.702,5.1545,18.452,5.652,-9.3455,11.652,9.591583,-2.2830002,14.070752,5.041942,-13.7985,7.089052,8.877183,-9.942714,11.289277,-0.046089374,-16.773396,-2.0291598,74.166664,43.75,64.333336,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,9.605998,22.314194,12.397806,6.62,11.33,6.9,62.583332,14.875,65.958336,0.0,0.0,0.0,0.0,1.0,1.0,2.96015747907371,-11.645499992370606,9.121927098435394,0.0,0.0,0.0,12.102833333333335,2.6528333333333314,7.126444933333336,-0.5558353333333335,3.4079153333333316,-6.2828817246666695,60.75,0.033333333333335706,0.03333333333333333,0.0,14.772665999999996,8.283333333333335,47.805556,0.0,0.6666666666666666,0.14552819504616318,0.0,0.0,0,val
8,2026-01-22 04:00:00+00:00,4,"[9, 4, 103, 7]",38.98828120086773,-76.98852013083324,12.7565,3.2065,7.2815,-7.777443,-1.3798126,-10.484258,34.041668,0.0,0.0,0.0,19.130875,10.73,65.791664,0,0,0.6,0,0.6065000534057617,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.8435,5.2064996,18.8935,5.5935,-9.2935,11.4935,9.76225,-2.2309995,13.956,4.95318,-13.751296,7.0671134,8.706205,-9.894786,10.548721,-1.1508968,-16.725576,-0.20954563,73.166664,43.75,64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.988594,22.314194,12.4811535,6.7,11.33,7.89,71.5,14.875,66.416664,0.0,0.0,0.0,0.0,1.0,0.0,2.9900718608632206,-11.893499946594238,8.967757363428845,0.0,0.0,0.0,12.314499866666667,2.5978333333333308,7.162416833333336,-0.5770008666666667,3.1200466666666635,-6.028672810000003,60.430554666666666,0.0,0.0,0.0,15.594647166666663,8.639999999999999,50.930554666666666,0.0,0.3333333333333333,0.021443092565939608,0.0,0.0,0,val
9,2026-01-22 04:00:00+00:00,3,"[8, 11, 38]",38.98372667138936,-76.979343274299,12.787001,2.787,7.0495,-7.3830743,-0.35764688,-10.150925,35.708332,0.0,0.0,0.0,19.930477,10.49,65.541664,0,0,0.3,0,0.4869999408721924,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.830501,5.287,18.880499,5.5805,-9.363,11.4805,9.74925,-2.340083,13.943,4.9406676,-13.071797,7.0547976,8.693489,-9.532548,10.53599,-1.1629815,-15.869996,-0.22136275,73.166664,46.791668,64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.988594,22.657131,12.4811535,6.7,11.3,7.89,71.5,14.25,66.416664,0.0,0.0,0.0,0.0,1.0,0.0,3.188268079335791,-11.66299991607666,9.168697548677748,0.0,0.0,0.0,12.332666666666668,2.5659999999999963,7.117389000000003,-0.3587772666666673,3.2323103333333276,-5.751446750000002,61.444444,0.0,0.0,0.0,15.708959499999999,8.629999999999999,50.72222133333333,0.0,0.3333333333333333,0.23132190397895722,0.0,0.0,0,val
10,2026-01-22 04:00:00+00:00,1,[3],38.97822850287908,-77.01883055718781,12.9465,3.4465,7.150667,-7.976284,-1.6565459,-10.311515,33.875,0.0,0.0,0.0,18.448023,10.57,65.083336,0,0,0.0,0,1.4465000629425049,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.5695,5.0465,18.969501,5.5695,-9.4535,11.3695,9.721582,-2.3180835,13.894502,4.8352284,-13.581483,7.139855,8.601234,-9.873032,10.476241,-1.1732064,-16.762207,0.78850037,72.75,44.916668,64.958336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.237038,21.9718,13.084402,7.58,11.39,7.87,71.208336,15.458333,69.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2085942818138684,-11.453499794006348,9.063862973694276,0.0,0.0,0.0,12.195167000000003,2.495166666666662,7.0993335,-0.5354665333333358,3.0681476666666616,-5.715637676666669,60.87500133333333,0.0,0.0,0.0,16.09774666666667,8.946666666666665,51.88888966666667,0.0,0.3333333333333333,0.27298582050059766,0.0,0.0,0,val
11,2026-01-22 04:00:00+00:00,6,"[4, 9, 84, 54, 59]",38.97156791991806,-76.97912219070555,13.488999,3.539,7.5119166,-7.676874,-1.073776,-10.186116,33.833332,0.0,0.0,0.0,18.899143,10.41,64.291664,0,0,0.6,0,0.9390000343322754,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.856501,5.639,18.9065,5.6064997,-9.311001,11.5065,9.77525,-2.0714169,13.969001,4.9656916,-12.798004,7.0794263,8.718922,-9.450101,10.561454,-1.1388117,-14.938713,-0.19772655,73.166664,47.416668,64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.988594,21.9718,12.4811535,6.7,11.34,7.89,71.5,14.416667,66.416664,0.0,0.0,0.0,0.0,1.0,0.0,3.160804535702855,-11.911000823974607,9.209664416057356,0.0,0.0,0.0,12.46733366666667,2.6006662333333277,7.224278033333335,-0.25096203333333467,3.2767583333333317,-5.425083750000005,61.652777333333326,0.0,0.0,0.0,15.480515833333333,8.643333333333333,50.77777699999999,0.0,0.3333333333333333,0.15315604259520063,0.0,0.0,0,val
12,2026-01-22 04:00:00+00:00,3,"[3, 102, 7]",38.99965881738984,-76.99500271133691,12.6525,3.1025,7.1774993,-7.8693357,-1.4744042,-10.575456,34.041668,0.0,0.0,0.0,19.130875,10.73,65.791664,0,0,0.3,0,0.8024999618530273,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.974,5.1025,18.524,5.674,-9.3975,11.624,9.724,-2.3350005,13.998998,5.076608,-13.845706,7.0724196,8.605631,-9.990645,10.553699,-1.0295883,-16.821218,-0.96990484,74.041664,43.75,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,22.314194,12.783802,6.63,11.33,7.32,73.333336,14.875,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,3.2673646548058106,-11.697500038146972,8.952973850905177,0.0,0.0,0.0,12.20016666666667,2.6334999999999953,7.129332500000001,-0.5655594666666678,3.0562283333333315,-6.273570380000006,60.69444266666667,0.0,0.0,0.0,15.467408333333331,8.426666666666668,53.805557333333326,0.0,0.3333333333333333,0.17427948918800432,0.0,0.0,0,val
14,2026-01-22 04:00:00+00:00,2,[19],38.92905069486573,-77.01751014764513,13.359,3.109,7.313166,-8.329643,-2.3551013,-10.352277,32.708332,0.0,0.0,0.0,18.59845,10.66,55.333332,0,0,0.0,0,1.1089999675750732,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.974,5.459,18.524,5.674,-9.540999,11.624,9.724,-2.1910002,13.998998,5.076608,-13.964657,7.0724196,8.605631,-10.642613,10.553699,-1.0295883,-19.162193,-0.96990484,74.041664,43.0,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,22.007162,12.783802,6.63,11.52,7.32,73.333336,16.666666,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,3.5212406708919644,-11.54099941253662,9.292070877744212,0.0,0.0,0.0,12.319000000000003,2.585666999999997,7.177332600000003,-0.605209800000002,2.838905666666664,-7.053895380000006,60.44444266666667,0.0,0.0,0.0,15.365064333333331,8.490000000000002,54.402779333333335,0.0,0.3333333333333333,0.4241040453665179,0.0,0.0,0,val
15,2026-01-22 04:00:00+00:00,5,"[34, 67, 20, 94]",38.91671054670134,-76.97430656320452,13.2715,3.6215,7.5839996,-7.6044917,-1.9988078,-10.621467,33.958332,0.0,0.0,0.0,19.914217,10.7,55.458332,0,0,0.6,0,1.021500015258789,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.987,5.8215,18.536999,5.687,-9.528501,11.637,9.737,-2.0222504,14.011998,5.0891366,-13.191005,7.0847316,8.61833,-9.45036,10.566154,-1.0175041,-17.384604,-0.95818156,74.041664,45.75,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,21.915693,12.783802,6.63,11.54,7.32,73.333336,15.166667,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,3.5088973674726174,-12.1285005569458,9.3165075029227,0.0,0.0,0.0,12.44849966666667,2.5984996666666627,7.242249200000003,-0.33904560000000156,3.244707999999996,-6.4534298866666715,61.36110933333333,0.0,0.0,0.0,15.334574666666663,8.496666666666668,53.902779666666675,0.0,0.3333333333333333,0.2323014378165046,0.0,0.0,0,val
