area_id,node_id,date,split,icy_label
"Little Rock, Arkansas, US",0,2026-01-21 04:00:00+00:00,train,1
"Louisville, Kentucky, US",0,2026-01-21 04:00:00+00:00,train,1
"Lubbock, Texaas, US",0,2026-01-21 04:00:00+00:00,train,0
"Nashville, Tennessee, US",0,2026-01-21 04:00:00+00:00,train,0
"newyork, US",0,2026-01-21 04:00:00+00:00,train,0
"Oklahoma, US",0,2026-01-21 04:00:00+00:00,train,0
"Philadelphia, US",0,2026-01-21 04:00:00+00:00,train,0
"Arlington, Texaas, US",0,2026-01-22 04:00:00+00:00,train,0
"Boston, Massachusetts US",0,2026-01-22 04:00:00+00:00,train,1
"Indianapolis, US",0,2026-01-22 04:00:00+00:00,train,0
"Little Rock, Arkansas, US",0,2026-01-22 04:00:00+00:00,train,0
"Louisville, Kentucky, US",0,2026-01-22 04:00:00+00:00,train,0
"Lubbock, Texaas, US",0,2026-01-22 04:00:00+00:00,train,0
"Nashville, Tennessee, US",0,2026-01-22 04:00:00+00:00,train,0
"newyork, US",0,2026-01-22 04:00:00+00:00,train,0
"Oklahoma, US",0,2026-01-22 04:00:00+00:00,train,0
"Philadelphia, US",0,2026-01-22 04:00:00+00:00,train,0
"Arlington, Texaas, US",0,2026-01-23 04:00:00+00:00,train,1
"Boston, Massachusetts US",0,2026-01-23 04:00:00+00:00,train,1
"Indianapolis, US",0,2026-01-23 04:00:00+00:00,train,0
"Little Rock, Arkansas, US",0,2026-01-23 04:00:00+00:00,train,0
"Louisville, Kentucky, US",0,2026-01-23 04:00:00+00:00,train,0
"Lubbock, Texaas, US",0,2026-01-23 04:00:00+00:00,train,1
"Nashville, Tennessee, US",0,2026-01-23 04:00:00+00:00,train,0
"newyork, US",0,2026-01-23 04:00:00+00:00,train,0
"Oklahoma, US",0,2026-01-23 04:00:00+00:00,train,0
"Philadelphia, US",0,2026-01-23 04:00:00+00:00,train,0
"Arlington, Texaas, US",0,2026-01-24 04:00:00+00:00,train,1
"Boston, Massachusetts US",0,2026-01-24 04:00:00+00:00,train,0
"Indianapolis, US",0,2026-01-24 04:00:00+00:00,train,1
"Little Rock, Arkansas, US",0,2026-01-24 04:00:00+00:00,train,1
"Louisville, Kentucky, US",0,2026-01-24 04:00:00+00:00,train,0
"Lubbock, Texaas, US",0,2026-01-24 04:00:00+00:00,train,1
"Nashville, Tennessee, US",0,2026-01-24 04:00:00+00:00,train,0
"newyork, US",0,2026-01-24 04:00:00+00:00,train,0
"Oklahoma, US",0,2026-01-24 04:00:00+00:00,train,1
"Philadelphia, US",0,2026-01-24 04:00:00+00:00,train,0
"Arlington, Texaas, US",0,2026-01-25 04:00:00+00:00,train,1
"Boston, Massachusetts US",0,2026-01-25 04:00:00+00:00,train,1
"Indianapolis, US",0,2026-01-25 04:00:00+00:00,train,1
"Little Rock, Arkansas, US",0,2026-01-25 04:00:00+00:00,train,1
"Louisville, Kentucky, US",0,2026-01-25 04:00:00+00:00,train,1
"Lubbock, Texaas, US",0,2026-01-25 04:00:00+00:00,train,1
"Nashville, Tennessee, US",0,2026-01-25 04:00:00+00:00,train,1
"newyork, US",0,2026-01-25 04:00:00+00:00,train,1
"Oklahoma, US",0,2026-01-25 04:00:00+00:00,train,1
"Philadelphia, US",0,2026-01-25 04:00:00+00:00,train,1
