node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,prev_icy_base,strong_thaw,icy_persist,icy_label
0,2026-01-21 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,3.5935,-12.9065,-4.783584,-13.21926,-6.2960725,-20.462921,53.208332,0.0,0.0,0.0,23.587555,9.63,42.791668,0,1,0.6,0,-15.506499862670898,0,0,0,0,0
0,2026-01-22 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,10.2935,2.0935,5.5122504,-5.967888,-3.5082753,-13.051416,44.875,0.0,0.0,0.0,24.40046,10.49,68.458336,0,0,0.6,0,-0.5065001010894775,0,0,1,0,0
0,2026-01-23 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,4.8435,-6.1064997,1.1289167,-13.375005,-7.7158856,-20.899748,34.125,0.0,0.0,0.0,35.406506,9.77,47.916668,0,1,0.6,0,-8.706499671936035,0,0,1,0,0
0,2026-01-24 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-6.8065,-12.356501,-9.596083,-21.101654,-18.65014,-24.683847,38.916668,0.0,0.0,0.0,30.293522,10.36,61.208332,0,1,0.6,0,-14.956500625610351,0,0,0,0,0
0,2026-01-25 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-6.3564997,-10.7065,-8.881501,-13.137573,-7.870736,-21.57276,75.083336,39.999996,14.199998,18.06,22.33161,2.32,98.416664,1,3,0.6,1,-13.306500053405761,1,0,0,0,1
0,2026-01-26 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-3.4065,-8.4565,-5.6773334,-10.145629,-7.326766,-18.28482,72.583336,0.2,0.1,0.07,24.448214,10.16,68.833336,1,2,0.6,1,-11.056500053405761,1,1,0,1,1
0,2026-01-27 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.1565,-10.7565,-7.8440003,-16.531992,-13.973961,-18.956715,50.083332,0.0,0.0,0.0,20.497883,11.54,37.791668,0,1,0.6,0,-13.356500244140625,0,1,0,1,1
0,2026-01-28 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.5065,-12.2565,-8.904416,-17.933052,-15.466407,-20.335619,48.291668,0.0,0.0,0.0,15.986595,12.42,36.083332,0,1,0.6,0,-14.856500244140625,0,0,0,0,0
0,2026-01-29 04:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.5065,-14.7065,-9.573167,-17.899588,-14.8883915,-21.23047,51.083332,0.0,0.0,0.0,22.319998,12.72,25.041666,0,1,0.6,0,-17.30650100708008,0,0,0,0,0
1,2026-01-21 04:00:00+00:00,4,"[0, 2]",39.96133035410375,-75.14820418069715,3.5935,-12.9065,-4.783584,-13.21926,-6.2960725,-20.462921,53.208332,0.0,0.0,0.0,23.587555,9.63,42.791668,0,1,0.6,0,-15.506499862670898,0,0,0,0,0
