node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
0,2026-01-21 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,3.5935,-12.9065,0.0,0.0,0.0,23.587555,9.63
0,2026-01-22 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,10.2935,2.0935,0.0,0.0,0.0,24.40046,10.49
0,2026-01-23 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,3.7935,-6.8065,0.0,0.0,0.0,35.406506,9.77
0,2026-01-24 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-7.4065,-12.356501,0.0,0.0,0.0,26.044699,10.36
0,2026-01-25 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-6.3564997,-10.7065,40.199997,18.13,14.299998,22.33161,2.32
0,2026-01-26 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-3.4065,-8.5565,0.0,0.0,0.0,24.448214,10.16
0,2026-01-27 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.1565,-10.7565,0.0,0.0,0.0,20.497883,11.54
0,2026-01-28 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.5065,-12.2565,0.0,0.0,0.0,15.986595,12.42
0,2026-01-29 05:00:00+00:00,30,"[32, 1, 2, 36, 100, 6, 104, 8, 42, 44, 17, 84, 30, 56, 89, 93, 126, 57]",39.95750664308096,-75.16327438501098,-5.5065,-14.7065,0.0,0.0,0.0,22.319998,12.72
1,2026-01-21 05:00:00+00:00,4,"[0, 2]",39.96133035410375,-75.14820418069715,3.5935,-12.9065,0.0,0.0,0.0,23.587555,9.63
