node_id,date,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
50162138,2025-01-01 05:00:00+00:00,38.9875604,-76.9339843,9.3455,4.7955,7.187166,0,0,99,42,7.1485515,-4.760344
50162138,2025-01-02 05:00:00+00:00,38.9875604,-76.9339843,4.6454997,0.74549997,2.6225834,0,0,58,41,-6.443805,-10.121785
50162138,2025-01-03 05:00:00+00:00,38.9875604,-76.9339843,5.3954997,-1.2544999,0.68716663,2.6,0.77,91,53,-0.4075997,-8.635536
50162138,2025-01-04 05:00:00+00:00,38.9875604,-76.9339843,-0.4545,-4.3545003,-1.7044998,0,0,58,42,-8.608099,-13.4792185
50162138,2025-01-05 05:00:00+00:00,38.9875604,-76.9339843,0.99549997,-7.3545003,-2.4440837,0,0,62,33,-9.735382,-14.38715
50162138,2025-01-06 05:00:00+00:00,38.9875604,-76.9339843,-0.2545,-3.5045,-2.683667,20.5,10.080001,95,55,-3.138726,-8.211501
50162138,2025-01-07 05:00:00+00:00,38.9875604,-76.9339843,1.5455,-5.0545,-2.017,0,0,67,49,-7.50775,-12.16767
50162138,2025-01-08 05:00:00+00:00,38.9875604,-76.9339843,-0.4545,-5.0045004,-2.7628334,0,0,59,45,-8.860115,-15.117972
50181902,2025-01-01 05:00:00+00:00,38.991378,-76.9417472,9.2545,4.7045,7.096167,0,0,99,42,7.057659,-4.844463
50181902,2025-01-02 05:00:00+00:00,38.991378,-76.9417472,4.5545,0.6545,2.531583,0,0,58,41,-6.5294127,-10.204178
50181902,2025-01-03 05:00:00+00:00,38.991378,-76.9417472,5.3045,-1.3455,0.59616673,2.6,0.77,91,53,-0.49763018,-8.720855
50181902,2025-01-04 05:00:00+00:00,38.991378,-76.9417472,-0.5455,-4.4455,-1.7954999,0,0,58,42,-8.693757,-13.563395
50181902,2025-01-05 05:00:00+00:00,38.991378,-76.9417472,0.9045,-7.4455,-2.5350833,0,0,62,33,-9.819449,-14.467699
50181902,2025-01-06 05:00:00+00:00,38.991378,-76.9417472,-0.34550002,-3.5955,-2.7746665,20.5,10.080001,95,55,-3.2290967,-8.296635
50181902,2025-01-07 05:00:00+00:00,38.991378,-76.9417472,1.4545,-5.1454997,-2.108,0,0,67,49,-7.5942864,-12.25324
50181902,2025-01-08 05:00:00+00:00,38.991378,-76.9417472,-0.5455,-5.0955,-2.8538334,0,0,59,45,-8.945943,-15.201405
50236653,2025-01-01 05:00:00+00:00,38.9908423,-76.9406702,9.326,4.776,7.1676674,0,0,99,42,7.1290746,-4.7783694
50236653,2025-01-02 05:00:00+00:00,38.9908423,-76.9406702,4.626,0.726,2.6030836,0,0,58,41,-6.4621496,-10.139441
50236653,2025-01-03 05:00:00+00:00,38.9908423,-76.9406702,5.376,-1.2739999,0.6676667,2.6,0.77,91,53,-0.42689192,-8.653819
50236653,2025-01-04 05:00:00+00:00,38.9908423,-76.9406702,-0.474,-4.374,-1.7240001,0,0,58,42,-8.626454,-13.497255
50236653,2025-01-05 05:00:00+00:00,38.9908423,-76.9406702,0.976,-7.374,-2.4635835,0,0,62,33,-9.753396,-14.4044075
50236653,2025-01-06 05:00:00+00:00,38.9908423,-76.9406702,-0.27400002,-3.524,-2.7031667,20.5,10.080001,95,55,-3.1580913,-8.229744
