node_id,date,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
227608381,2025-01-01 05:00:00+00:00,34.6416532,-102.7185526,3.613,-5.437,-1.1953336,0.0,0.0,99.0,61.0,-0.7502257,-8.794634
227608381,2025-01-02 05:00:00+00:00,34.6416532,-102.7185526,18.263,-0.237,6.4859176,0.0,0.0,80.0,17.0,-1.7965869,-8.342462
227608381,2025-01-03 05:00:00+00:00,34.6416532,-102.7185526,15.063,-6.287,4.0296664,0.0,0.0,90.0,33.0,2.3341935,-9.171331
227608381,2025-01-04 05:00:00+00:00,34.6416532,-102.7185526,17.813,1.763,8.965083,0.0,0.0,62.0,25.0,-0.95321614,-7.26356
227608381,2025-01-05 05:00:00+00:00,34.6416532,-102.7185526,7.713,-6.687,-2.062,0.0,0.0,98.0,27.0,-0.1655247,-12.456743
227608381,2025-01-06 05:00:00+00:00,34.6416532,-102.7185526,6.613,-10.987,-3.16825,0.0,0.0,86.0,37.0,-5.371482,-13.465747
227608381,2025-01-07 05:00:00+00:00,34.6416532,-102.7185526,3.563,-5.587,-1.8265834,0.0,0.0,76.0,44.0,-6.3031807,-10.821735
227608381,2025-01-08 05:00:00+00:00,34.6416532,-102.7185526,2.113,-4.337,-2.15575,0.1,0.0,90.0,54.0,-3.6644938,-9.188245
227608383,2025-01-01 05:00:00+00:00,34.641636,-102.71981,3.6195,-5.4305,-1.1888336,0.0,0.0,99.0,61.0,-0.74385333,-8.788482
227608383,2025-01-02 05:00:00+00:00,34.641636,-102.71981,18.2695,-0.2305,6.492417,0.0,0.0,80.0,17.0,-1.790833,-8.336598
227608383,2025-01-03 05:00:00+00:00,34.641636,-102.71981,15.0695,-6.2805004,4.0361667,0.0,0.0,90.0,33.0,2.34042,-9.1649885
227608383,2025-01-04 05:00:00+00:00,34.641636,-102.71981,17.8195,1.7695,8.971583,0.0,0.0,62.0,25.0,-0.9476169,-7.257849
227608383,2025-01-05 05:00:00+00:00,34.641636,-102.71981,7.7194996,-6.6805,-2.0555003,0.0,0.0,98.0,27.0,-0.1590396,-12.450597
227608383,2025-01-06 05:00:00+00:00,34.641636,-102.71981,6.6194997,-10.9805,-3.16175,0.0,0.0,86.0,37.0,-5.3652997,-13.459401
227608383,2025-01-07 05:00:00+00:00,34.641636,-102.71981,3.5695,-5.5805,-1.8200836,0.0,0.0,76.0,44.0,-6.2971835,-10.815689
227608383,2025-01-08 05:00:00+00:00,34.641636,-102.71981,2.1195,-4.3305,-2.14925,0.1,0.0,90.0,54.0,-3.6580937,-9.182068
227608384,2025-01-01 05:00:00+00:00,34.6416271,-102.721088,3.6065,-5.4435,-1.2018331,0.0,0.0,99.0,61.0,-0.75659823,-8.800789
