node_id,date,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
0,2025-01-01 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,5.274,0.074,2.2719166,2.8,0.28,96,72,4.4881454,-2.8690143
0,2025-01-02 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,0.424,-3.026,-0.7593333,0.6,0.21000001,88,57,-1.9235407,-8.439072
0,2025-01-03 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-0.726,-3.876,-2.5322502,0.2,0.14,79,56,-5.131987,-9.946343
0,2025-01-04 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-2.876,-6.026,-4.7260003,0,0,72,56,-8.038924,-13.158791
0,2025-01-05 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-2.226,-6.976,-5.0114164,0,0,74,56,-9.210244,-12.871954
0,2025-01-06 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-4.376,-9.026,-6.8510003,0.1,0.07,90,71,-6.310309,-12.958645
0,2025-01-07 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-4.276,-8.176,-6.505167,0.4,0.21000001,81,60,-7.76214,-12.980139
0,2025-01-08 05:00:00+00:00,"[1, 99, 5, 140, 93]",42.99512766,-78.87561907,-6.926,-10.276,-8.376,0,0,74,60,-11.47854,-15.415434
1,2025-01-01 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,5.3065,0.1065,2.335667,2.3,0.28,96,71,4.421045,-3.1383035
1,2025-01-02 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,0.4565,-2.9435,-0.6914167,0.6,0.28,88,58,-1.8915071,-8.461081
1,2025-01-03 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-0.6435,-3.7435,-2.2372496,0.2,0.07,81,55,-4.525265,-9.113952
1,2025-01-04 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-2.6435,-5.5435004,-4.453917,0,0,72,55,-8.055799,-12.835148
1,2025-01-05 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-2.2935,-6.6935,-4.5789165,0,0,74,55,-8.413411,-12.812916
1,2025-01-06 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-3.9935,-8.4435,-6.1580834,0.1,0.07,89,70,-5.7354493,-12.418399
1,2025-01-07 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-3.5935,-7.3935003,-5.8684998,0.4,0.21000001,76,56,-8.312459,-13.56826
1,2025-01-08 05:00:00+00:00,"[0, 41, 2, 146]",42.99962456,-78.85284375,-6.8435,-10.1935,-8.203917,0,0,71,56,-11.946579,-15.708391
140,2025-01-01 05:00:00+00:00,"[0, 16]",43.0080485,-78.873499,5.3325,0.1325,2.3304164,2.8,0.28,96,72,4.5462985,-2.8121328
140,2025-01-02 05:00:00+00:00,"[0, 16]",43.0080485,-78.873499,0.4825,-2.9675,-0.7008334,0.6,0.21000001,88,57,-1.8658797,-8.383205
