node_id,date,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
0,2025-01-01 05:00:00+00:00,47.6390906,-117.4929163,0.0785,-0.7715,-0.4069167,0.4,0.28,97,71,-0.44071823,-5.2789254
0,2025-01-02 05:00:00+00:00,47.6390906,-117.4929163,0.7785,-0.9215,-0.07774998,0.90000004,0.49,100,89,0.22850002,-2.0617208
0,2025-01-03 05:00:00+00:00,47.6390906,-117.4929163,1.1285,-0.3215,0.36391667,8.5,1.6100001,99,93,0.7053082,-0.8816315
0,2025-01-04 05:00:00+00:00,47.6390906,-117.4929163,2.1285,-0.22150001,0.7993333,3.8,1.82,100,88,1.0152187,-0.8349144
0,2025-01-05 05:00:00+00:00,47.6390906,-117.4929163,2.7784998,1.0285001,1.8410002,4.5,0,100,94,2.3495743,0.7478752
0,2025-01-06 05:00:00+00:00,47.6390906,-117.4929163,1.9284999,0.028499998,1.0055833,0,0,100,82,1.3579477,-2.5315251
0,2025-01-07 05:00:00+00:00,47.6390906,-117.4929163,1.3785,-0.1215,0.3889167,0,0,95,81,-0.57750165,-2.9900546
0,2025-01-08 05:00:00+00:00,47.6390906,-117.4929163,0.4285,-1.1715,-0.2860833,1.2,0.56000006,96,88,-0.27924216,-2.7525856
1,2025-01-01 05:00:00+00:00,47.6356216,-117.4850012,0.1435,-0.7065,-0.3419167,0.4,0.28,97,71,-0.37594235,-5.2163744
1,2025-01-02 05:00:00+00:00,47.6356216,-117.4850012,0.8435,-0.8565,-0.012749995,0.90000004,0.49,100,89,0.29349998,-1.9975705
1,2025-01-03 05:00:00+00:00,47.6356216,-117.4850012,1.1935,-0.2565,0.42891666,8.5,1.6100001,99,93,0.7700832,-0.81693107
1,2025-01-04 05:00:00+00:00,47.6356216,-117.4850012,2.1935,-0.15650001,0.86433333,3.8,1.82,100,88,1.0796825,-0.7708508
1,2025-01-05 05:00:00+00:00,47.6356216,-117.4850012,2.8435,1.0935,1.906,4.5,0,100,94,2.4143474,0.8127258
