n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
1496.0,4919.0,1.0,0.24618824964423663,25
1324.0,4563.0,1.0,0.24260355029585798,40
268.0,1726.0,1.0,0.26013904982618774,60
135.0,791.0,1.0,0.2806573957016435,80
61.0,309.0,1.0,0.3559870550161812,100
34.0,110.0,1.0,0.5545454545454546,125
23.0,79.0,1.0,0.5569620253164557,150
11.0,37.0,1.0,0.5405405405405406,200
8.0,27.0,1.0,0.5185185185185185,250
5.0,19.0,1.0,0.631578947368421,300
4.0,17.0,1.0,0.5882352941176471,400
2.0,9.0,1.0,0.4444444444444444,500
