n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
615.0,1933.0,1.0,0.3735126745990688,25
542.0,1789.0,1.0,0.3605366126327557,40
183.0,955.0,1.0,0.3392670157068063,60
114.0,598.0,1.0,0.35785953177257523,80
64.0,339.0,1.0,0.37168141592920356,100
26.0,111.0,1.0,0.46846846846846846,125
12.0,63.0,1.0,0.4126984126984127,150
7.0,43.0,1.0,0.32558139534883723,200
4.0,35.0,1.0,0.22857142857142856,250
4.0,35.0,1.0,0.22857142857142856,300
3.0,31.0,1.0,0.12903225806451613,400
2.0,29.0,1.0,0.06896551724137931,500
