n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
4120.0,12618.0,1.0,0.2969567284831194,25
3225.0,10750.0,1.0,0.2871627906976744,40
1317.0,5890.0,1.0,0.30152801358234294,60
545.0,2629.0,1.0,0.36363636363636365,80
273.0,1215.0,1.0,0.4082304526748971,100
140.0,575.0,1.0,0.4834782608695652,125
69.0,309.0,1.0,0.4627831715210356,150
32.0,215.0,1.0,0.4046511627906977,200
15.0,154.0,1.0,0.2987012987012987,250
7.0,120.0,1.0,0.16666666666666666,300
3.0,104.0,1.0,0.038461538461538464,400
2.0,102.0,1.0,0.0196078431372549,500
