n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
1544.0,4386.0,1.0,0.3233014135886913,25
1239.0,3718.0,1.0,0.3243679397525551,40
739.0,2522.0,1.0,0.3509119746233148,60
409.0,1493.0,1.0,0.3402545210984595,80
264.0,974.0,1.0,0.337782340862423,100
157.0,641.0,1.0,0.36817472698907955,125
89.0,425.0,1.0,0.35764705882352943,150
40.0,273.0,1.0,0.27106227106227104,200
26.0,233.0,1.0,0.22317596566523606,250
19.0,213.0,1.0,0.1784037558685446,300
9.0,187.0,1.0,0.0748663101604278,400
4.0,177.0,1.0,0.03389830508474576,500
