n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
1220.0,3357.0,1.0,0.33035448316949656,25
961.0,2830.0,1.0,0.3275618374558304,40
600.0,1897.0,1.0,0.3484449130205588,60
444.0,1435.0,1.0,0.3470383275261324,80
329.0,1117.0,1.0,0.37332139659803043,100
237.0,872.0,1.0,0.3795871559633027,125
182.0,733.0,1.0,0.3506139154160982,150
105.0,517.0,1.0,0.32108317214700194,200
70.0,435.0,1.0,0.2850574712643678,250
54.0,391.0,1.0,0.2557544757033248,300
28.0,309.0,1.0,0.17475728155339806,400
18.0,287.0,1.0,0.13240418118466898,500
