n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
3308.0,9298.0,1.0,0.30608733060873305,25
2125.0,6756.0,1.0,0.30106571936056836,40
1073.0,3786.0,1.0,0.32065504490227154,60
639.0,2300.0,1.0,0.3408695652173913,80
396.0,1537.0,1.0,0.35068314899154196,100
204.0,954.0,1.0,0.36477987421383645,125
114.0,708.0,1.0,0.3192090395480226,150
40.0,511.0,1.0,0.21526418786692758,200
21.0,433.0,1.0,0.12009237875288684,250
17.0,421.0,1.0,0.11401425178147269,300
5.0,369.0,1.0,0.016260162601626018,400
3.0,365.0,1.0,0.010958904109589041,500
