n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
5577.0,15763.0,1.0,0.3069847110321639,25
3715.0,11911.0,1.0,0.2923348165561246,40
1786.0,6502.0,1.0,0.30221470316825594,60
1033.0,3811.0,1.0,0.3285226974547363,80
586.0,2281.0,1.0,0.36957474791758,100
332.0,1426.0,1.0,0.3920056100981767,125
184.0,896.0,1.0,0.3939732142857143,150
79.0,520.0,1.0,0.3,200
43.0,406.0,1.0,0.22660098522167488,250
29.0,366.0,1.0,0.18032786885245902,300
14.0,318.0,1.0,0.10062893081761007,400
7.0,288.0,1.0,0.0625,500
