n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
5533.0,15758.0,1.0,0.29654778525193554,25
4066.0,12768.0,1.0,0.28720238095238093,40
1904.0,7293.0,1.0,0.28918140682846566,60
1025.0,4231.0,1.0,0.32829118411722996,80
600.0,2587.0,1.0,0.3560108233475068,100
348.0,1762.0,1.0,0.3473325766174801,125
204.0,1294.0,1.0,0.3160741885625966,150
72.0,875.0,1.0,0.192,200
45.0,799.0,1.0,0.1276595744680851,250
29.0,739.0,1.0,0.08389715832205684,300
13.0,693.0,1.0,0.04040404040404041,400
8.0,669.0,1.0,0.014947683109118086,500
