n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
6649.0,20162.0,1.0,0.30210296597559766,25
5528.0,17856.0,1.0,0.3044914874551971,40
2180.0,9277.0,1.0,0.34299881427185513,60
1142.0,4854.0,1.0,0.3908117016893284,80
724.0,3058.0,1.0,0.46075866579463703,100
431.0,1808.0,1.0,0.5199115044247787,125
295.0,1343.0,1.0,0.5241995532390171,150
173.0,874.0,1.0,0.5125858123569794,200
104.0,618.0,1.0,0.42718446601941745,250
73.0,504.0,1.0,0.3611111111111111,300
39.0,368.0,1.0,0.1956521739130435,400
18.0,302.0,1.0,0.1390728476821192,500
