n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
9187.0,26489.0,1.0,0.28230586281097814,25
6706.0,21253.0,1.0,0.28683009457488357,40
2540.0,11083.0,1.0,0.32283677704592617,60
928.0,4023.0,1.0,0.4419587372607507,80
489.0,1851.0,1.0,0.5786061588330632,100
271.0,894.0,1.0,0.6185682326621924,125
193.0,684.0,1.0,0.6418128654970761,150
99.0,424.0,1.0,0.6533018867924528,200
40.0,243.0,1.0,0.5761316872427984,250
25.0,184.0,1.0,0.4891304347826087,300
16.0,148.0,1.0,0.4189189189189189,400
3.0,90.0,1.0,0.044444444444444446,500
