n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
3509.0,10529.0,1.0,0.23525500997245702,25
2828.0,9100.0,1.0,0.251978021978022,40
1508.0,5429.0,1.0,0.3017130226561061,60
995.0,3528.0,1.0,0.36054421768707484,80
715.0,2467.0,1.0,0.3968382650993109,100
465.0,1578.0,1.0,0.4340937896070976,125
365.0,1239.0,1.0,0.4745762711864407,150
229.0,802.0,1.0,0.5586034912718204,200
142.0,538.0,1.0,0.5650557620817844,250
110.0,442.0,1.0,0.5656108597285068,300
66.0,284.0,1.0,0.5070422535211268,400
36.0,194.0,1.0,0.44329896907216493,500
