n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
5541.0,15145.0,1.0,0.23090128755364808,25
4158.0,12326.0,1.0,0.2390069771215317,40
1642.0,5971.0,1.0,0.28202981075196787,60
810.0,3271.0,1.0,0.3292571079180679,80
465.0,1918.0,1.0,0.3524504692387904,100
208.0,886.0,1.0,0.39954853273137697,125
108.0,515.0,1.0,0.3825242718446602,150
50.0,287.0,1.0,0.31010452961672474,200
33.0,238.0,1.0,0.226890756302521,250
26.0,214.0,1.0,0.19626168224299065,300
21.0,198.0,1.0,0.1919191919191919,400
17.0,186.0,1.0,0.15053763440860216,500
