n_nodes,n_edges,lcc_node_frac,major_edge_frac,tolerance_m
3311.0,8802.0,1.0,0.3111792774369461,25
2760.0,7630.0,1.0,0.3076015727391874,40
1945.0,5614.0,1.0,0.33024581403633774,60
1459.0,4346.0,1.0,0.33824206166589965,80
1079.0,3186.0,1.0,0.3493408662900188,100
766.0,2385.0,1.0,0.35429769392033544,125
522.0,1700.0,1.0,0.3588235294117647,150
285.0,937.0,1.0,0.3810032017075774,200
140.0,484.0,1.0,0.4194214876033058,250
82.0,300.0,1.0,0.42333333333333334,300
33.0,156.0,1.0,0.27564102564102566,400
13.0,95.0,1.0,0.14736842105263157,500
