sample_id,latitude,longitude,time_utc,time_local,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,wind_gusts_10m,surface_pressure,weather_code
0,43.19620167923219,-71.53968303915687,2026-02-10 05:00:00+00:00,2026-02-10 00:00:00-05:00,-9.25,57.519566,-16.1,0.0,0.0,0.0,0.25,15.266079,31.68,1008.03674,3.0
0,43.19620167923219,-71.53968303915687,2026-02-10 06:00:00+00:00,2026-02-10 01:00:00-05:00,-10.05,54.71189,-17.45,0.0,0.0,0.0,0.25,13.935767,29.519999,1007.8027,0.0
0,43.19620167923219,-71.53968303915687,2026-02-10 07:00:00+00:00,2026-02-10 02:00:00-05:00,-10.15,57.75197,-16.9,0.0,0.0,0.0,0.25,11.161451,25.199999,1007.798,2.0
0,43.19620167923219,-71.53968303915687,2026-02-10 08:00:00+00:00,2026-02-10 03:00:00-05:00,-10.05,58.75396,-16.6,0.0,0.0,0.0,0.25,10.837435,20.880001,1008.0003,3.0
0,43.19620167923219,-71.53968303915687,2026-02-10 09:00:00+00:00,2026-02-10 04:00:00-05:00,-9.0,57.112392,-15.95,0.0,0.0,0.0,0.25,10.837435,21.96,1008.3443,3.0
0,43.19620167923219,-71.53968303915687,2026-02-10 10:00:00+00:00,2026-02-10 05:00:00-05:00,-8.35,59.70235,-14.8,0.1,0.0,0.07,0.25,9.582358,21.24,1008.2749,71.0
0,43.19620167923219,-71.53968303915687,2026-02-10 11:00:00+00:00,2026-02-10 06:00:00-05:00,-8.45,64.24508,-14.0,0.2,0.0,0.14,0.25,9.028754,18.359999,1008.2705,71.0
0,43.19620167923219,-71.53968303915687,2026-02-10 12:00:00+00:00,2026-02-10 07:00:00-05:00,-9.8,68.54406,-14.5,0.1,0.0,0.07,0.25,7.229191,16.919998,1008.30817,71.0
0,43.19620167923219,-71.53968303915687,2026-02-10 13:00:00+00:00,2026-02-10 08:00:00-05:00,-8.5,63.190987,-14.25,0.0,0.0,0.0,0.25,5.5450516,12.599999,1008.4659,0.0
0,43.19620167923219,-71.53968303915687,2026-02-10 14:00:00+00:00,2026-02-10 09:00:00-05:00,-5.95,47.235386,-15.4,0.0,0.0,0.0,0.25,4.278551,12.599999,1008.18445,0.0
0,43.19620167923219,-71.53968303915687,2026-02-10 15:00:00+00:00,2026-02-10 10:00:00-05:00,-3.55,41.071983,-14.9,0.0,0.0,0.0,0.25,4.412754,13.32,1007.69696,0.0
0,43.19620167923219,-71.53968303915687,2026-02-10 16:00:00+00:00,2026-02-10 11:00:00-05:00,-0.95,37.69833,-13.6,0.0,0.0,0.0,0.25,3.4247334,13.32,1007.11694,2.0
0,43.19620167923219,-71.53968303915687,2026-02-10 17:00:00+00:00,2026-02-10 12:00:00-05:00,1.05,38.014587,-11.7,0.0,0.0,0.0,0.25,1.8,11.159999,1005.61957,3.0
0,43.19620167923219,-71.53968303915687,2026-02-10 18:00:00+00:00,2026-02-10 13:00:00-05:00,2.05,35.387794,-11.7,0.0,0.0,0.0,0.25,1.9134263,9.0,1004.7717,3.0
0,43.19620167923219,-71.53968303915687,2026-02-10 19:00:00+00:00,2026-02-10 14:00:00-05:00,3.05,34.168148,-11.25,0.0,0.0,0.0,0.25,4.9785542,14.4,1003.4289,3.0
