sample_id,latitude,longitude,time_utc,time_local,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,wind_gusts_10m,surface_pressure,weather_code
0,41.86419595973484,-87.66056720775298,2025-11-09 06:00:00+00:00,2025-11-09 00:00:00-06:00,4.8,87.81096,2.95,0.7,0.7,0.0,0.0,21.03229,42.839996,989.2692,53.0
0,41.86419595973484,-87.66056720775298,2025-11-09 07:00:00+00:00,2025-11-09 01:00:00-06:00,4.9,85.66975,2.7,0.4,0.4,0.0,0.0,21.986542,45.0,989.0817,51.0
0,41.86419595973484,-87.66056720775298,2025-11-09 08:00:00+00:00,2025-11-09 02:00:00-06:00,4.9,85.66975,2.7,0.3,0.3,0.0,0.0,19.083395,45.36,989.5707,51.0
0,41.86419595973484,-87.66056720775298,2025-11-09 09:00:00+00:00,2025-11-09 03:00:00-06:00,4.8,82.96091,2.15,0.7,0.7,0.0,0.0,16.224981,39.239998,990.14935,53.0
0,41.86419595973484,-87.66056720775298,2025-11-09 10:00:00+00:00,2025-11-09 04:00:00-06:00,3.95,87.41981,2.05,1.2,1.2,0.0,0.0,20.00026,40.32,991.0596,55.0
0,41.86419595973484,-87.66056720775298,2025-11-09 11:00:00+00:00,2025-11-09 05:00:00-06:00,2.45,92.11567,1.3,1.7,1.6,0.07,0.0,20.870687,41.760002,991.819,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 12:00:00+00:00,2025-11-09 06:00:00-06:00,1.1,92.36599,0.0,1.4,0.39999998,0.7,0.01,29.958511,57.239998,992.58923,73.0
0,41.86419595973484,-87.66056720775298,2025-11-09 13:00:00+00:00,2025-11-09 07:00:00-06:00,0.85,89.374374,-0.7,0.9,0.0,0.63,0.02,25.930622,60.120003,993.54626,73.0
0,41.86419595973484,-87.66056720775298,2025-11-09 14:00:00+00:00,2025-11-09 08:00:00-06:00,0.25,83.91058,-2.15,0.4,0.0,0.28,0.02,25.071098,55.079998,994.6702,73.0
0,41.86419595973484,-87.66056720775298,2025-11-09 15:00:00+00:00,2025-11-09 09:00:00-06:00,0.05,80.83529,-2.85,0.2,0.0,0.14,0.02,24.58895,55.44,995.33795,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 16:00:00+00:00,2025-11-09 10:00:00-06:00,0.1,74.756,-3.85,0.2,0.0,0.14,0.02,24.337303,54.36,996.0263,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 17:00:00+00:00,2025-11-09 11:00:00-06:00,-0.05,71.16537,-4.65,0.1,0.0,0.07,0.02,25.199997,56.16,996.4051,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 18:00:00+00:00,2025-11-09 12:00:00-06:00,0.7,74.585495,-3.3,0.1,0.0,0.07,0.02,24.20381,57.96,996.76013,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 19:00:00+00:00,2025-11-09 13:00:00-06:00,0.0,71.444,-4.55,0.2,0.0,0.14,0.02,21.3412,53.28,997.289,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 20:00:00+00:00,2025-11-09 14:00:00-06:00,0.15,66.02312,-5.45,0.1,0.0,0.07,0.02,22.240019,50.76,997.6925,71.0
0,41.86419595973484,-87.66056720775298,2025-11-09 21:00:00+00:00,2025-11-09 15:00:00-06:00,0.2,57.99169,-7.1,0.0,0.0,0.0,0.02,21.67487,56.88,998.28314,3.0
0,41.86419595973484,-87.66056720775298,2025-11-09 22:00:00+00:00,2025-11-09 16:00:00-06:00,-0.25,58.096657,-7.5,0.0,0.0,0.0,0.02,22.66142,56.16,998.9301,3.0
0,41.86419595973484,-87.66056720775298,2025-11-09 23:00:00+00:00,2025-11-09 17:00:00-06:00,-0.9,60.679626,-7.55,0.0,0.0,0.0,0.02,23.679407,54.0,999.7557,3.0
0,41.86419595973484,-87.66056720775298,2025-11-10 00:00:00+00:00,2025-11-09 18:00:00-06:00,-0.45,58.947887,-7.5,0.0,0.0,0.0,0.01,22.218153,53.28,1000.3797,3.0
0,41.86419595973484,-87.66056720775298,2025-11-10 01:00:00+00:00,2025-11-09 19:00:00-06:00,-1.05,61.34868,-7.55,0.1,0.0,0.07,0.01,22.081387,51.12,1000.525,71.0
0,41.86419595973484,-87.66056720775298,2025-11-10 02:00:00+00:00,2025-11-09 20:00:00-06:00,-1.6,66.89512,-6.95,0.3,0.0,0.21000001,0.01,22.240019,50.76,1000.3814,73.0
0,41.86419595973484,-87.66056720775298,2025-11-10 03:00:00+00:00,2025-11-09 21:00:00-06:00,-2.05,72.12677,-6.4,0.4,0.0,0.28,0.01,22.577625,51.839996,1000.05005,73.0
0,41.86419595973484,-87.66056720775298,2025-11-10 04:00:00+00:00,2025-11-09 22:00:00-06:00,-2.2,75.19178,-6.0,0.6,0.0,0.48999998,0.01,23.923754,52.56,999.5488,73.0
0,41.86419595973484,-87.66056720775298,2025-11-10 05:00:00+00:00,2025-11-09 23:00:00-06:00,-2.5,78.65465,-5.7,0.7,0.0,0.48999998,0.02,26.669779,60.479996,998.83954,73.0
