nodes,edges,lcc_node_frac,major_edge_frac,deg_p99,deg_max,filter_name,dist_m,area_km2,tolerance_m
128.0,320.0,1.0,0.8875,7.730000000000004,8.0,major_only,1600,10.24,20
96.0,258.0,1.0,0.9147286821705426,7.249999999999986,12.0,major_only,1600,10.24,40
26.0,82.0,1.0,0.9390243902439024,17.5,21.0,major_only,1600,10.24,80
14.0,48.0,1.0,1.0,11.479999999999997,12.0,major_only,1600,10.24,125
2.0,7.0,1.0,1.0,4.98,5.0,major_only,1600,10.24,200
1.0,1.0,1.0,1.0,2.0,2.0,major_only,1600,10.24,300
175.0,432.0,1.0,0.8958333333333334,7.259999999999991,8.0,major_only,2400,23.04,20
136.0,357.0,1.0,0.9215686274509803,7.0,12.0,major_only,2400,23.04,40
49.0,153.0,1.0,0.954248366013072,16.279999999999944,23.0,major_only,2400,23.04,80
26.0,95.0,1.0,1.0,16.5,19.0,major_only,2400,23.04,125
9.0,32.0,1.0,1.0,15.12,16.0,major_only,2400,23.04,200
3.0,7.0,1.0,1.0,4.9399999999999995,5.0,major_only,2400,23.04,300
260.0,671.0,1.0,0.9016393442622951,6.410000000000025,8.0,major_only,3600,51.84,20
207.0,568.0,1.0,0.920774647887324,7.0,12.0,major_only,3600,51.84,40
86.0,298.0,1.0,0.9463087248322147,19.600000000000023,23.0,major_only,3600,51.84,80
45.0,178.0,1.0,0.9831460674157303,18.0,18.0,major_only,3600,51.84,125
22.0,93.0,1.0,0.978494623655914,22.319999999999993,24.0,major_only,3600,51.84,200
9.0,33.0,1.0,1.0,12.44,13.0,major_only,3600,51.84,300
320.0,821.0,1.0,0.9074299634591961,6.810000000000002,9.0,major_only,4800,92.16,20
255.0,700.0,1.0,0.9271428571428572,7.0,12.0,major_only,4800,92.16,40
114.0,388.0,1.0,0.9587628865979382,17.83000000000004,23.0,major_only,4800,92.16,80
67.0,256.0,1.0,0.98828125,18.0,18.0,major_only,4800,92.16,125
37.0,151.0,1.0,0.9867549668874173,23.400000000000006,27.0,major_only,4800,92.16,200
19.0,79.0,1.0,1.0,18.480000000000004,21.0,major_only,4800,92.16,300
410.0,1057.0,1.0,0.9063386944181646,6.0,9.0,major_only,6000,144.0,20
332.0,910.0,1.0,0.921978021978022,7.0,12.0,major_only,6000,144.0,40
164.0,552.0,1.0,0.9492753623188406,13.960000000000036,23.0,major_only,6000,144.0,80
104.0,391.0,1.0,0.9641943734015346,17.849999999999994,18.0,major_only,6000,144.0,125
52.0,220.0,1.0,0.9772727272727273,21.90000000000002,27.0,major_only,6000,144.0,200
26.0,119.0,1.0,1.0,19.0,23.0,major_only,6000,144.0,300
311.0,924.0,1.0,0.49567099567099565,6.0,8.0,major_plus_residential,1600,10.24,20
252.0,810.0,1.0,0.4901234567901235,7.490000000000009,12.0,major_plus_residential,1600,10.24,40
17.0,54.0,1.0,0.5370370370370371,17.56,19.0,major_plus_residential,1600,10.24,80
6.0,15.0,1.0,0.6,5.95,6.0,major_plus_residential,1600,10.24,125
2.0,3.0,1.0,1.0,2.98,3.0,major_plus_residential,1600,10.24,200
1.0,1.0,1.0,1.0,2.0,2.0,major_plus_residential,1600,10.24,300
576.0,1760.0,1.0,0.42045454545454547,6.0,8.0,major_plus_residential,2400,23.04,20
462.0,1534.0,1.0,0.4230769230769231,7.389999999999986,12.0,major_plus_residential,2400,23.04,40
38.0,131.0,1.0,0.4732824427480916,20.930000000000028,25.0,major_plus_residential,2400,23.04,80
11.0,38.0,1.0,0.47368421052631576,15.200000000000003,16.0,major_plus_residential,2400,23.04,125
4.0,13.0,1.0,0.23076923076923078,12.699999999999998,13.0,major_plus_residential,2400,23.04,200
1.0,5.0,1.0,0.2,10.0,10.0,major_plus_residential,2400,23.04,300
1043.0,3241.0,1.0,0.4008022215365628,5.0,8.0,major_plus_residential,3600,51.84,20
864.0,2880.0,1.0,0.396875,7.0,12.0,major_plus_residential,3600,51.84,40
102.0,371.0,1.0,0.38544474393531,26.909999999999954,45.0,major_plus_residential,3600,51.84,80
29.0,116.0,1.0,0.4396551724137931,30.599999999999994,32.0,major_plus_residential,3600,51.84,125
8.0,36.0,1.0,0.4166666666666667,35.54999999999999,38.0,major_plus_residential,3600,51.84,200
1.0,14.0,1.0,0.07142857142857142,28.0,28.0,major_plus_residential,3600,51.84,300
1484.0,4530.0,1.0,0.3781456953642384,5.0,9.0,major_plus_residential,4800,92.16,20
1234.0,4039.0,1.0,0.36989353800445657,7.0,12.0,major_plus_residential,4800,92.16,40
173.0,720.0,1.0,0.3527777777777778,26.04000000000002,52.0,major_plus_residential,4800,92.16,80
42.0,214.0,1.0,0.43457943925233644,64.21999999999979,88.0,major_plus_residential,4800,92.16,125
12.0,84.0,1.0,0.27380952380952384,95.56000000000006,107.0,major_plus_residential,4800,92.16,200
3.0,50.0,1.0,0.14,89.22,91.0,major_plus_residential,4800,92.16,300
1977.0,6077.0,1.0,0.3695902583511601,5.0,9.0,major_plus_residential,6000,144.0,20
1665.0,5461.0,1.0,0.3567112250503571,7.0,12.0,major_plus_residential,6000,144.0,40
261.0,1041.0,1.0,0.37848222862632086,20.399999999999977,52.0,major_plus_residential,6000,144.0,80
86.0,399.0,1.0,0.45614035087719296,43.050000000000495,117.0,major_plus_residential,6000,144.0,125
27.0,163.0,1.0,0.3803680981595092,105.6799999999998,140.0,major_plus_residential,6000,144.0,200
6.0,89.0,1.0,0.1797752808988764,134.25000000000003,141.0,major_plus_residential,6000,144.0,300
