mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
baseline,15,0,0,80,1.311309576034546,8.620772907562689,9.147088697036374,1.334361559252648,150.0,9.523809523809524,1038,0,0,0,0,0,0.0
baseline,15,1,0,93,1.773796558380127,9.703168736782722,10.257554701695001,2.6057639528982577,158.0,9.523809523809524,776,0,0,0,0,0,0.0
baseline,15,2,0,106,1.600602149963379,8.669561453741043,9.195877243214728,1.5301580211228814,150.0,14.285714285714286,1556,0,0,0,0,0,0.0
baseline,15,3,0,119,1.1118083000183105,10.087068633800703,10.644963370642808,2.6464418393221267,159.0,9.523809523809524,700,0,0,0,0,0,0.0
baseline,15,4,0,132,1.2597355842590332,8.397641428048434,8.952027392960716,1.6369263179128843,158.0,14.285714285714286,594,0,0,0,0,0,0.0
baseline,15,5,0,145,0.7497763633728027,7.467249368360797,8.014617789413428,2.2680329307151172,156.0,14.285714285714286,530,0,0,0,0,0,0.0
baseline,15,6,0,158,0.7275938987731934,7.163043855185309,7.685850872729169,1.6528964614370463,149.0,14.285714285714286,408,0,0,0,0,0,0.0
baseline,15,0,1,10080,1.9706101417541504,8.328911347300902,8.855227136774587,1.334361559252648,150.0,14.285714285714286,846,0,0,0,0,0,0.0
baseline,15,1,1,10093,1.1013708114624023,9.724221368361668,10.257554701695001,2.6279155814547437,152.0,9.523809523809524,862,0,0,0,0,0,0.0
baseline,15,2,1,10106,0.9000458717346191,8.798238594240233,9.345607015292865,2.3265633263313794,156.0,9.523809523809524,502,0,0,0,0,0,0.0
baseline,15,3,1,10119,1.1665525436401367,10.101103721520001,10.644963370642808,2.2469267361764604,155.0,9.523809523809524,878,0,0,0,0,0,0.0
baseline,15,4,1,10132,1.4090936183929443,8.440623884188787,9.002027392960716,2.3226217577668593,160.0,9.523809523809524,480,0,0,0,0,0,0.0
baseline,15,5,1,10145,1.410867691040039,7.523389719237992,8.01461778941343,1.7358708407926777,140.0,14.285714285714286,720,0,0,0,0,0,0.0
baseline,15,6,1,10158,1.4833812713623047,7.214998640037072,7.762367061089703,1.1300440487690222,156.0,9.523809523809524,556,0,0,0,0,0,0.0
baseline,15,0,2,20080,1.4054460525512695,8.603589671166805,9.133414232570313,2.1050531648730773,151.0,14.285714285714286,870,0,0,0,0,0,0.0
baseline,15,1,2,20093,1.678164005279541,9.699659964852897,10.257554701695001,2.6779155814547435,159.0,9.523809523809524,810,0,0,0,0,0,0.0
baseline,15,2,2,20106,1.7798044681549072,8.662543909881395,9.195877243214728,1.996581182288357,152.0,14.285714285714286,722,0,0,0,0,0,0.0
baseline,15,3,2,20119,1.1647121906280518,10.101103721520001,10.644963370642808,2.265416822078629,155.0,9.523809523809524,514,0,0,0,0,0,0.0
baseline,15,4,2,20132,1.4079482555389404,8.440623884188787,9.002027392960716,0.6358005203090148,160.0,9.523809523809524,992,0,0,0,0,0,0.0
baseline,15,5,2,20145,1.4552009105682373,7.509354631518693,8.01461778941343,1.7843771818053455,144.0,14.285714285714286,698,0,0,0,0,0,0.0
baseline,15,6,2,20158,1.3740007877349854,7.2009635523177735,7.762367061089703,1.5732824350870136,160.0,9.523809523809524,740,0,0,0,0,0,0.0
baseline,15,0,3,30080,1.71638822555542,8.624281679492514,9.147088697036374,2.363147294258103,149.0,9.523809523809524,944,0,0,0,0,0,0.0
baseline,15,1,3,30093,0.6974713802337646,9.702291543800264,10.207554701695,2.1718576535441523,144.0,14.285714285714286,486,0,0,0,0,0,0.0
baseline,15,2,3,30106,0.8707370758056641,8.81929122581918,9.345607015292865,2.0947043405586925,150.0,9.523809523809524,824,0,0,0,0,0,0.0
baseline,15,3,3,30119,1.7366580963134766,10.087068633800703,10.644963370642808,2.1094329326651957,159.0,9.523809523809524,970,0,0,0,0,0,0.0
baseline,15,4,3,30132,2.1776845455169678,8.475711603487031,9.002027392960716,2.4653860779264596,150.0,9.523809523809524,844,0,0,0,0,0,0.0
baseline,15,5,3,30145,2.144435167312622,7.538301999939745,8.064617789413429,2.3391156483458735,150.0,9.523809523809524,1080,0,0,0,0,0,0.0
baseline,15,6,3,30158,2.2320716381073,7.1860512716160185,7.712367061089703,1.879519626130362,150.0,14.285714285714286,892,0,0,0,0,0,0.0
baseline,15,0,4,40080,0.9566829204559326,8.469067670286533,9.002401003619866,1.3602753226333584,152.0,19.047619047619047,696,0,0,0,0,0,0.0
baseline,15,1,4,40093,1.5198922157287598,9.724221368361668,10.257554701695001,1.6478646287343122,152.0,9.523809523809524,806,0,0,0,0,0,0.0
baseline,15,2,4,40106,1.3809027671813965,8.791221050380585,9.345607015292865,2.843007624675577,158.0,9.523809523809524,662,0,0,0,0,0,0.0
baseline,15,3,4,40119,1.496931791305542,10.083559861870878,10.644963370642808,2.7502012380418197,160.0,9.523809523809524,996,0,0,0,0,0,0.0
baseline,15,4,4,40132,0.9728753566741943,8.447641428048435,9.002027392960716,1.6369263179128843,158.0,9.523809523809524,800,0,0,0,0,0,0.0
baseline,15,5,4,40145,1.8689002990722656,7.516372175378343,8.01461778941343,2.5084005457705487,142.0,14.285714285714286,984,0,0,0,0,0,0.0
baseline,15,6,4,40158,1.3511974811553955,7.2009635523177735,7.762367061089703,2.1173456585157013,160.0,9.523809523809524,854,0,0,0,0,0,0.0
baseline,15,0,5,50080,1.477501630783081,8.592702732124092,9.147088697036374,2.0748108239019905,158.0,9.523809523809524,722,0,0,0,0,0,0.0
baseline,15,1,5,50093,1.7677619457244873,9.696151192923072,10.257554701695001,2.7657529891043566,160.0,9.523809523809524,684,0,0,0,0,0,0.0
baseline,15,2,5,50106,0.8899135589599609,8.317844431208695,8.879247939980624,2.1315301173988432,160.0,14.285714285714286,426,0,0,0,0,0,0.0
baseline,15,3,5,50119,1.334890604019165,9.869933440193297,10.368179054228385,2.008218081425121,142.0,14.285714285714286,806,0,0,0,0,0,0.0
baseline,15,4,5,50132,2.3800508975982666,8.472202831557208,9.002027392960716,2.185275418265839,151.0,9.523809523809524,1024,0,0,0,0,0,0.0
baseline,15,5,5,50145,2.3890106678009033,7.520758140290622,8.064617789413429,1.8979469172298569,155.0,9.523809523809524,1196,0,0,0,0,0,0.0
baseline,15,6,5,50158,2.2603585720062256,7.1279561358870644,7.685850872729169,1.753397595611172,159.0,14.285714285714286,568,0,0,0,0,0,0.0
baseline,15,0,6,60080,1.86985445022583,8.500646617654954,9.002401003619866,2.5162372355130347,143.0,19.047619047619047,780,0,0,0,0,0,0.0
baseline,15,1,6,60093,0.5576391220092773,9.699659964852897,10.257554701695001,2.505684116012966,159.0,9.523809523809524,506,0,0,0,0,0,0.0
baseline,15,2,6,60106,1.5177927017211914,8.626066402106806,9.155890963510315,1.996581182288357,151.0,14.285714285714286,866,0,0,0,0,0,0.0
baseline,15,3,6,60119,0.6631331443786621,10.1151388092393,10.644963370642808,1.997649181832964,151.0,9.523809523809524,920,0,0,0,0,0,0.0
baseline,15,4,6,60132,1.8937506675720215,8.472202831557208,9.002027392960716,1.9222411906918473,151.0,9.523809523809524,1108,0,0,0,0,0,0.0
baseline,15,5,6,60145,1.2853572368621826,7.488301999939746,8.01461778941343,1.8843771818053456,150.0,14.285714285714286,784,0,0,0,0,0,0.0
baseline,15,6,6,60158,1.7282626628875732,7.1279561358870644,7.685850872729169,1.2601592092931804,159.0,14.285714285714286,706,0,0,0,0,0,0.0
baseline,15,0,7,70080,0.805833101272583,8.45152381063741,9.002401003619866,1.7175481001855677,157.0,19.047619047619047,466,0,0,0,0,0,0.0
baseline,15,1,7,70093,1.8392243385314941,9.724221368361668,10.257554701695001,1.6478646287343122,152.0,9.523809523809524,920,0,0,0,0,0,0.0
baseline,15,2,7,70106,1.3459863662719727,8.801747366170058,9.345607015292865,2.0947043405586925,155.0,9.523809523809524,866,0,0,0,0,0,0.0
baseline,15,3,7,70119,1.2582390308380127,9.845372036684525,10.368179054228385,1.7820947614183302,149.0,14.285714285714286,1070,0,0,0,0,0,0.0
baseline,15,4,7,70132,1.3272733688354492,8.468694059627383,9.002027392960716,1.789387642509079,152.0,9.523809523809524,792,0,0,0,0,0,0.0
baseline,15,5,7,70145,1.1066360473632812,7.538301999939745,8.064617789413429,1.8843771818053456,150.0,9.523809523809524,816,0,0,0,0,0,0.0
baseline,15,6,7,70158,1.2666802406311035,7.205149118343204,7.685850872729169,1.222562368784758,137.0,14.285714285714286,502,0,0,0,0,0,0.0
baseline,15,0,8,80080,0.8888921737670898,8.585685188264444,9.147088697036374,1.8576863350051878,160.0,9.523809523809524,600,0,0,0,0,0,0.0
baseline,15,1,8,80093,1.1512396335601807,9.727730140291493,10.257554701695001,1.4985105163889434,151.0,9.523809523809524,882,0,0,0,0,0,0.0
baseline,15,2,8,80106,1.8958311080932617,8.78771227845076,9.345607015292865,1.799943029920867,159.0,9.523809523809524,1382,0,0,0,0,0,0.0
baseline,15,3,8,80119,3.156245231628418,10.118647581169123,10.644963370642808,2.316235093112017,150.0,9.523809523809524,1300,0,0,0,0,0,0.0
baseline,15,4,8,80132,1.693711280822754,8.475711603487031,9.002027392960716,2.024578950624079,150.0,9.523809523809524,770,0,0,0,0,0,0.0
baseline,15,5,8,80145,1.6496474742889404,7.516372175378343,8.01461778941343,0.9358708407926779,142.0,14.285714285714286,954,0,0,0,0,0,0.0
baseline,15,6,8,80158,1.3204395771026611,7.22903372775637,7.762367061089703,1.6652498271252438,152.0,9.523809523809524,1160,0,0,0,0,0,0.0
baseline,15,0,9,90080,2.8546676635742188,8.472576442216358,9.002401003619866,1.9740399359226306,151.0,19.047619047619047,1024,0,0,0,0,0,0.0
baseline,15,1,9,90093,1.1434104442596436,9.646151192923071,10.207554701695,1.9599434373821563,160.0,14.285714285714286,612,0,0,0,0,0,0.0
baseline,15,2,9,90106,1.0247595310211182,8.812273681959532,9.345607015292865,1.0788642079816135,152.0,9.523809523809524,782,0,0,0,0,0,0.0
baseline,15,3,9,90119,1.1537203788757324,10.083559861870878,10.644963370642808,3.027993804046608,160.0,9.523809523809524,670,0,0,0,0,0,0.0
baseline,15,4,9,90132,1.1976420879364014,8.440623884188787,9.002027392960716,1.6369263179128843,160.0,9.523809523809524,966,0,0,0,0,0,0.0
baseline,15,5,9,90145,1.716238021850586,7.519880947308167,8.01461778941343,1.6987017534441178,141.0,14.285714285714286,776,0,0,0,0,0,0.0
baseline,15,6,9,90158,1.6822738647460938,7.236051271616019,7.762367061089703,1.8574857964020064,150.0,9.523809523809524,1120,0,0,0,0,0,0.0
exact_cache,15,0,0,296,0.9856557846069336,8.585685188264444,9.147088697036374,1.816846723568685,160.0,9.523809523809524,400,158,0,0,0,0,0.2831541218637993
exact_cache,15,1,0,309,1.001863956451416,9.44913219586678,9.99650061691941,4.066710154826662,156.0,23.80952380952381,329,113,0,0,0,0,0.25565610859728505
