mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,1,0,1,10042,3.9071409702301025,27.995135991659176,28.78121846588598,2.0383256781907475,610.0,9.836065573770492,28,4,176,19,0,715,0.8766519823788547
intelligent_memory,1,1,1,10055,8.858992338180542,29.97796048098161,30.80914604799192,1.7191225203284934,645.0,11.475409836065573,42,7,210,36,0,1479,0.8576271186440678
baseline,1,0,1,10042,6.3442933559417725,27.98740403289629,28.78121846588598,1.4315183093257104,616.0,9.836065573770492,217,0,0,0,0,0,0.0
baseline,1,1,1,10055,7.679380655288696,30.57697314163979,31.390117471536698,5.330814953830005,631.0,9.836065573770492,287,0,0,0,0,0,0.0
exact_cache,1,0,1,10042,6.383621454238892,27.98740403289629,28.78121846588598,1.4315183093257104,616.0,9.836065573770492,215,2,0,0,0,0,0.009216589861751152
exact_cache,1,1,1,10055,14.516625165939331,30.641406131330513,31.390117471536698,1.8559605793961413,581.0,9.836065573770492,493,82,0,0,0,0,0.1426086956521739
intelligent_memory,1,0,0,42,7.210045337677002,27.59068709609554,28.38450152908523,0.09671637683346401,616.0,13.114754098360656,43,1,138,31,0,796,0.7981220657276995
intelligent_memory,1,1,0,55,18.70797824859619,30.654292729268658,31.390117471536698,1.7191225203284934,571.0,9.836065573770492,44,108,787,72,3,4696,0.9564787339268052
baseline,1,0,0,42,24.77907133102417,28.050548362793197,28.78121846588598,0.2779736031100921,567.0,9.836065573770492,1011,0,0,0,0,0,0.0
baseline,1,1,0,55,7.524954795837402,29.577775817129595,30.41927066249042,0.5172652869944381,653.0,13.114754098360656,315,0,0,0,0,0,0.0
exact_cache,1,0,0,42,24.86814785003662,28.050548362793197,28.78121846588598,0.2779736031100921,567.0,9.836065573770492,923,88,0,0,0,0,0.08704253214638971
exact_cache,1,1,0,55,12.983056545257568,30.68393190452639,31.390117471536698,1.9,548.0,9.836065573770492,846,165,0,0,0,0,0.1632047477744807
