mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,5,0,0,42,4.529118537902832,10.560096719826127,11.201782902495916,5.601259645606746,274.0,41.1764705882353,81,0,98,29,24,1622,0.6105769230769231
intelligent_memory,5,0,1,10042,4.786073923110962,10.120943914376609,10.762630097046397,5.580595366775524,274.0,44.11764705882353,92,4,50,58,0,1568,0.5490196078431373
intelligent_memory,5,0,4,40042,5.82278847694397,11.109362856683946,11.751049039353735,6.1518909394454,274.0,38.23529411764706,154,54,150,24,0,2057,0.5968586387434555
exact_cache,5,0,0,42,6.740238904953003,10.810552584387091,11.466290289305125,6.088986866305291,280.0,29.41176470588235,294,0,0,0,0,0,0.0
baseline,5,0,0,42,6.907673597335815,10.810552584387091,11.466290289305125,6.088986866305291,280.0,29.41176470588235,294,0,0,0,0,0,0.0
baseline,5,0,3,30042,7.930630445480347,10.537912515013922,11.20535982180549,5.425875491995877,285.0,32.35294117647059,362,0,0,0,0,0,0.0
exact_cache,5,0,3,30042,8.058788537979126,10.537912515013922,11.20535982180549,5.425875491995877,285.0,32.35294117647059,360,2,0,0,0,0,0.0055248618784530384
exact_cache,5,0,1,10042,8.525984764099121,11.836042762824189,12.496464308491635,6.155178233997764,282.0,32.35294117647059,484,70,0,0,0,0,0.1263537906137184
exact_cache,5,0,2,20042,8.527423620223999,11.405451932437112,12.065873478104558,5.09541953469287,282.0,38.23529411764706,432,90,0,0,0,0,0.1724137931034483
baseline,5,0,1,10042,8.603725671768188,11.836042762824189,12.496464308491635,6.155178233997764,282.0,32.35294117647059,554,0,0,0,0,0,0.0
baseline,5,0,2,20042,8.603591680526733,11.405451932437112,12.065873478104558,5.09541953469287,282.0,38.23529411764706,522,0,0,0,0,0,0.0
intelligent_memory,5,0,2,20042,8.321717262268066,10.520746537297072,11.16243271996686,5.798857391802002,274.0,44.11764705882353,111,58,417,20,96,3626,0.8168316831683168
baseline,5,0,4,40042,8.672563314437866,11.089264370938842,11.747343996231582,6.109717502291071,281.0,38.23529411764706,370,0,0,0,0,0,0.0
exact_cache,5,0,4,40042,8.733622550964355,11.089264370938842,11.747343996231582,6.109717502291071,281.0,38.23529411764706,362,8,0,0,0,0,0.021621621621621623
intelligent_memory,5,0,3,30042,11.684379816055298,11.292027369388762,11.936055472433258,7.032432730255583,275.0,41.1764705882353,317,40,307,132,0,6018,0.6017587939698492
