graph_id,Interval,num_nodes,mode,obj_mean,obj_std,time_s_mean,time_s_std,%_covered_mean,%_covered_std,unique_edges_covered_mean,unique_edges_covered_std
1,0,9,Gurobi,8.97540796386636,0.0,3.807,0.0,94.77,0.0,,
1,1,9,Gurobi,7.77034701213951,0.0,3.081,0.0,90.53,0.0,,
1,2,9,Gurobi,6.72200628990307,0.0,3.207,0.0,81.3,0.0,,
1,3,9,Gurobi,8.46372741670647,0.0,6.36,0.0,92.53,0.0,,
2,0,8,Gurobi,9.16980453279894,0.0,6.097,0.0,97.78,0.0,,
2,1,8,Gurobi,11.1814498650059,0.0,6.277,0.0,95.27,0.0,,
2,2,8,Gurobi,12.3015071071729,0.0,6.106,0.0,95.91,0.0,,
2,3,8,Gurobi,10.4426203354513,0.0,6.14,0.0,92.16,0.0,,
3,0,11,Gurobi,12.3981743987085,0.0,6.135,0.0,91.93,0.0,,
3,1,11,Gurobi,11.2990432174601,0.0,6.296,0.0,96.27,0.0,,
3,2,11,Gurobi,10.4278388757126,0.0,6.066,0.0,95.31,0.0,,
3,3,11,Gurobi,11.7215554321488,0.0,6.049,0.0,95.23,0.0,,
4,0,11,Gurobi,5.91462996040996,0.0,6.027,0.0,42.76,0.0,,
4,1,11,Gurobi,11.5943852374733,0.0,6.103,0.0,86.54,0.0,,
4,2,11,Gurobi,9.91572877451179,0.0,6.05,0.0,80.82,0.0,,
4,3,11,Gurobi,8.16208238060265,0.0,6.074,0.0,71.18,0.0,,
5,0,13,Gurobi,7.26697068946954,0.0,6.134,0.0,56.26,0.0,,
5,1,13,Gurobi,4.91289235974662,0.0,6.044,0.0,45.53,0.0,,
5,2,13,Gurobi,10.4087488861997,0.0,6.067,0.0,78.25,0.0,,
5,3,13,Gurobi,11.0385994016783,0.0,6.079,0.0,80.02,0.0,,
6,0,12,Gurobi,14.3075171324304,0.0,6.094,0.0,93.92,0.0,,
6,1,12,Gurobi,5.09096214679586,0.0,6.537,0.0,35.91,0.0,,
6,2,12,Gurobi,9.64868211430547,0.0,6.501,0.0,67.94,0.0,,
6,3,12,Gurobi,7.13377287173352,0.0,6.122,0.0,54.78,0.0,,
7,0,8,Gurobi,11.6877768759895,0.0,2.192,0.0,100.0,0.0,,
7,1,8,Gurobi,13.3009029311633,0.0,2.671,0.0,100.0,0.0,,
7,2,8,Gurobi,13.2191778956525,0.0,1.103,0.0,100.0,0.0,,
7,3,8,Gurobi,15.1787102617423,0.0,4.113,0.0,100.0,0.0,,
8,0,12,Gurobi,7.85637329756132,0.0,6.154,0.0,73.54,0.0,,
8,1,12,Gurobi,11.9619057392727,0.0,6.159,0.0,90.74,0.0,,
8,2,12,Gurobi,8.08638391516843,0.0,6.109,0.0,64.7,0.0,,
8,3,12,Gurobi,13.8913124711244,0.0,6.439,0.0,89.23,0.0,,
9,0,10,Gurobi,10.5552236570449,0.0,6.034,0.0,87.82,0.0,,
9,1,10,Gurobi,11.248840267589,0.0,6.16,0.0,83.18,0.0,,
9,2,10,Gurobi,7.79578968008848,0.0,6.221,0.0,59.81,0.0,,
9,3,10,Gurobi,9.39702664112076,0.0,6.428,0.0,71.35,0.0,,
10,0,15,Gurobi,6.64724684652522,0.0,6.092,0.0,50.1,0.0,,
10,1,15,Gurobi,12.7256810153389,0.0,6.103,0.0,88.12,0.0,,
10,2,15,Gurobi,8.42397554185854,0.0,6.127,0.0,60.17,0.0,,
10,3,15,Gurobi,9.07002031777591,0.0,6.152,0.0,58.88,0.0,,
11,0,15,Gurobi,12.8664995768779,0.0,6.177,0.0,77.15,0.0,,
11,1,15,Gurobi,8.12811914361502,0.0,6.283,0.0,60.42,0.0,,
11,2,15,Gurobi,5.30417913543747,0.0,6.065,0.0,41.26,0.0,,
11,3,15,Gurobi,12.8099937090646,0.0,6.054,0.0,73.53,0.0,,
12,0,15,Gurobi,10.26613186544,0.0,6.179,0.0,85.36,0.0,,
12,1,15,Gurobi,11.2946295127339,0.0,6.152,0.0,78.58,0.0,,
12,2,15,Gurobi,13.6599044388658,0.0,6.033,0.0,80.63,0.0,,
12,3,15,Gurobi,12.0812726013378,0.0,6.071,0.0,78.8,0.0,,
13,0,15,Gurobi,10.2405962930245,0.0,6.189,0.0,61.92,0.0,,
13,1,15,Gurobi,5.53981451328984,0.0,6.167,0.0,39.27,0.0,,
13,2,15,Gurobi,9.10181681560417,0.0,6.032,0.0,56.2,0.0,,
13,3,15,Gurobi,9.20435037818959,0.0,6.15,0.0,70.8,0.0,,
14,0,13,Gurobi,14.9461189860515,0.0,6.084,0.0,84.98,0.0,,
14,1,13,Gurobi,13.3899571531536,0.0,6.188,0.0,91.37,0.0,,
14,2,13,Gurobi,11.1419763653697,0.0,6.205,0.0,77.83,0.0,,
14,3,13,Gurobi,9.78378016155668,0.0,6.126,0.0,72.68,0.0,,
15,0,15,Gurobi,12.2988759886146,0.0,6.125,0.0,77.0,0.0,,
15,1,15,Gurobi,9.2230973171774,0.0,6.07,0.0,65.58,0.0,,
15,2,15,Gurobi,12.172617400348,0.0,6.105,0.0,76.19,0.0,,
15,3,15,Gurobi,9.8373476018471,0.0,6.07,0.0,68.33,0.0,,
1,0,9,SA,5.0367916,0.29486112550344,1.5088,0.119913672651991,53.1819999999999,3.11533055139329,8.6,0.516397779494322
1,1,9,SA,4.962408,0.0,1.1832,0.211111766080855,57.82,0.0,8.0,0.0
1,2,9,SA,4.8444346,0.219288793754415,1.74929999999999,0.1971474631392,58.5929999999999,2.65037125282058,8.7,0.483045891539648
1,3,9,SA,5.0570771,0.210600706251031,1.83599999999999,0.255501685143388,55.287,2.30392925238601,8.1,0.567646212197546
1,0,9,SA + Exact Cache,5.2140477,0.114961971143166,1.7565,0.232411153872709,55.052,1.21343223040175,9.0,0.0
1,1,9,SA + Exact Cache,4.965618,0.0101509112891404,1.0832,0.226014158848511,57.857,0.117004273426229,8.1,0.316227766016837
1,2,9,SA + Exact Cache,4.9051091,0.152378275623856,1.7328,0.183898401902306,59.327,1.84040484676606,8.7,0.483045891539648
1,3,9,SA + Exact Cache,5.0660806,0.242886101945015,1.7532,0.209067134353218,55.386,2.65650647781379,7.9,0.567646212197546
1,0,9,SA + LTMB,5.242303,0.0255703415611829,1.652,0.212735098707811,55.352,0.267448852846462,9.0,0.0
1,1,9,SA + LTMB,4.975248,0.0165763687217677,1.4049,0.302323391971797,57.9679999999999,0.191067178412896,8.4,0.516397779494322
1,2,9,SA + LTMB,4.923982,0.239583642367337,1.698,0.361547906768783,59.5539999999999,2.89664633671423,8.9,0.316227766016837
1,3,9,SA + LTMB,5.1415701,0.17903611691031,1.6812,0.255205276852445,56.212,1.95796265995492,8.0,0.471404520791031
2,0,8,SA,13.5408392999999,0.136892528590902,2.73619999999999,0.42018086052979,89.389,0.905175857683652,23.7,0.823272602348564
2,1,8,SA,11.9982728,0.306196033847889,3.03249999999999,0.356829012896155,83.081,2.12141174168942,24.1,0.737864787372621
2,2,8,SA,13.2756826999999,0.181918488047104,2.2968,0.429184705122527,89.091,1.22179694621397,25.2,0.632455532033675
2,3,8,SA,13.6021974,0.189508698973717,2.5561,0.592696746518262,84.761,1.18105837657962,24.5,0.849836585598797
2,0,8,SA + Exact Cache,13.659702,0.14987070605692,2.8898,0.550638578783256,90.173,0.988388699966884,24.5,1.17851130197757
2,1,8,SA + Exact Cache,12.1835771999999,0.194364882248025,3.0732,0.23122802598301,84.364,1.34719626550023,24.4,0.699205898780101
2,2,8,SA + Exact Cache,13.4391422,0.146862030901115,2.3881,0.429674670212501,90.188,0.98470300090941,25.1,0.316227766016837
2,3,8,SA + Exact Cache,13.7575546,0.185460406470072,2.9034,0.465829773391286,85.7299999999999,1.15750689942748,24.8,0.632455532033676
2,0,8,SA + LTMB,13.6846351999999,0.137457195029984,3.1553,0.344211514430686,90.338,0.908781846454056,24.6,0.516397779494322
2,1,8,SA + LTMB,12.1101698999999,0.236340569313038,2.9416,0.437324745850647,83.8549999999999,1.63690935064291,24.1,0.567646212197546
2,2,8,SA + LTMB,13.4768034999999,0.121059366962614,2.4459,0.435400569080422,90.44,0.812376486338417,24.8,0.421637021355783
2,3,8,SA + LTMB,13.7860793,0.244541018301201,3.2602,0.377587017196772,85.9059999999999,1.52539393818995,24.8,0.788810637746615
3,0,11,SA,7.3896353,0.214340374670781,1.53149999999999,0.253252289668271,78.8,2.28582102925355,15.5,0.97182531580755
3,1,11,SA,9.5712486,0.182657625763004,1.8268,0.298659523724108,81.5549999999999,1.55883325314515,13.8,0.918936583472681
