Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,Note,TN,FP,FN,TP,Model,Threshold
0.8840291583830351,0.8212809917355371,0.9974905897114178,0.9008498583569404,0.9985747375733196,0.997259738062679,,539,173,2,795,TemporalGNN_SAGE,0.5
0.68,0.6774193548387096,1.0,0.8076923076923077,0.9167329757069026,0.8184796022067363,,4,160,0,336,LSTM,0.1
0.638,0.6733780760626398,0.8958333333333334,0.768837803320562,0.888925990766217,0.7468786295005807,,18,146,35,301,LogisticRegression,0.1
0.624,0.6681818181818182,0.875,0.7577319587628866,0.8495331874994464,0.6680277293844366,,18,146,42,294,RandomForest,0.1
0.612,0.6839378238341969,0.7857142857142857,0.7313019390581718,0.8248348697992242,0.626678644018583,,42,122,72,264,XGBoost,0.1
0.5732273028495692,0.5532359081419624,0.9974905897114178,0.711727842435094,0.8104240267898548,0.8672039107326632,,70,642,2,795,TemporalGNN_GCN,0.5
0.47,0.6005665722379604,0.6309523809523809,0.6153846153846154,0.6421496950066456,0.4023029181184669,,23,141,124,212,SVM,0.1
0.5294897282968853,0.528865295288653,1.0,0.6918402777777778,0.63416343839348,0.6589422412699307,,2,710,0,797,TemporalGNN_GAT,0.5
0.458,0.5936599423631124,0.6130952380952381,0.6032210834553441,0.5598588486108228,0.312772212543554,,23,141,130,206,MLP,0.1
0.5294897282968853,0.528865295288653,1.0,0.6918402777777778,0.5302727877578177,0.5042134831460674,,2,710,0,797,StaticGNN_ablation,0.5
