node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,prev_icy_base,strong_thaw,icy_persist,icy_label,partial_thaw,thaw_fraction,black_ice_risk
0,2026-01-21 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,13.5,0.4,5.875,-8.718303,-5.8430614,-12.150184,35.708332,0.0,0.0,0.0,29.381382,15.59,4.9583335,0,0,0.6,0,-2.2,0,0,1,0,0,0,0.0,0
0,2026-01-22 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,14.3,-1.85,5.5166664,-7.1210823,-2.289703,-10.593112,41.291668,0.0,0.0,0.0,18.532133,14.75,49.583332,0,1,0.6,0,-4.45,0,0,0,0,0,1,0.5,0
0,2026-01-23 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,4.15,-9.9,-0.4395835,-2.964717,3.4500003,-11.798204,84.291664,3.4999998,1.5000001,1.4000001,27.103003,1.3,81.583336,1,4,0.6,1,-12.5,1,0,0,0,1,1,0.5,0
0,2026-01-24 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,-10.35,-13.2,-12.164582,-14.213284,-12.240916,-15.6215725,84.708336,6.5,1.8000001,3.2900002,20.532627,3.57,99.958336,1,3,0.6,1,-15.799999999999999,1,1,0,1,1,0,1.0,0
0,2026-01-25 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,-7.8,-14.2,-11.375,-14.366239,-10.378708,-18.14677,78.75,2.9,0.70000005,1.5400002,21.96,8.97,71.583336,1,3,0.6,1,-16.8,1,1,0,1,1,0,1.0,0
0,2026-01-26 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,-1.7,-20.3,-11.633334,-14.926467,-6.4542675,-24.67899,77.083336,0.0,0.0,0.0,16.65754,13.24,72.083336,1,4,0.6,1,-22.900000000000002,1,1,0,1,1,0,1.0,0
0,2026-01-27 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,6.95,-9.0,-2.2499998,-9.083634,-4.0870957,-14.067105,61.833332,0.0,0.0,0.0,17.873554,12.41,34.333332,0,1,0.6,0,-11.6,0,1,0,1,1,1,0.5,1
0,2026-01-28 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,11.65,-8.15,0.77708346,-10.110593,-6.5385957,-13.740409,49.958332,0.0,0.0,0.0,22.45315,16.49,6.625,0,1,0.6,0,-10.75,0,0,0,0,0,1,0.5,0
0,2026-01-29 04:00:00+00:00,9,"[4, 10, 11, 12, 47, 17, 21, 56]",33.529341967492016,-101.86630867606374,13.65,2.7,6.8833337,-6.9942117,-4.856194,-10.558327,37.791668,0.0,0.0,0.0,30.312773,16.49,4.9166665,0,0,0.6,0,0.1000000000000002,0,0,1,0,0,0,0.0,0
2,2026-01-21 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,13.128,-0.37199998,5.1154995,-8.966899,-5.9846883,-12.544463,37.125,0.0,0.0,0.0,29.749592,15.57,6.125,0,1,0.6,0,-2.97199998,0,0,1,0,0,0,0.0,0
2,2026-01-22 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,14.028,-2.572,4.9488335,-7.978107,-2.815668,-11.730421,40.083332,0.0,0.0,0.0,19.66536,14.77,47.833332,0,1,0.6,0,-5.172,0,0,0,0,0,1,0.5,0
2,2026-01-23 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,3.578,-9.972,-0.7074168,-3.3386743,3.5780003,-11.869039,83.333336,3.5,1.4999999,1.4,31.826931,1.57,81.333336,1,4,0.6,1,-12.572,1,0,0,0,1,1,0.5,0
2,2026-01-24 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,-10.672,-13.572,-12.251167,-14.511272,-12.557707,-15.9368305,83.25,6.9000006,1.6000001,3.7100003,25.86494,4.24,99.958336,1,3,0.6,1,-16.172,1,1,0,1,1,0,1.0,0
2,2026-01-25 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,-7.8719997,-14.472,-11.424083,-14.584617,-10.766869,-18.909697,77.666664,2.7999997,0.40000004,1.6800002,26.282465,9.67,62.583332,1,3,0.6,1,-17.072000000000003,1,1,0,1,1,0,1.0,0
2,2026-01-26 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,-1.672,-19.922,-11.886584,-15.714269,-7.391988,-24.688612,73.833336,0.0,0.0,0.0,19.523155,12.49,74.083336,0,2,0.6,1,-22.522000000000002,0,1,0,1,1,0,1.0,0
2,2026-01-27 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,6.478,-10.972,-3.755333,-9.929173,-4.42049,-14.862389,64.375,0.0,0.0,0.0,17.227419,12.79,36.458332,0,2,0.6,1,-13.572,0,0,0,0,0,1,0.5,0
2,2026-01-28 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,11.528,-9.522,-0.21366723,-10.665909,-7.7640724,-15.626044,53.25,0.0,0.0,0.0,24.216522,16.46,14.625,0,1,0.6,0,-12.122,0,0,0,0,0,1,0.5,0
2,2026-01-29 04:00:00+00:00,13,"[8, 14, 15, 16, 26]",33.61742020207961,-101.84085662216104,13.478,-0.37199998,5.319667,-7.182154,-4.7018604,-11.698967,42.125,0.0,0.0,0.0,35.428463,16.47,4.0416665,0,1,0.6,0,-2.97199998,0,0,1,0,0,0,0.0,0
3,2026-01-21 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,13.4805,0.1805,5.7909164,-8.850729,-5.9036055,-12.286661,35.541668,0.0,0.0,0.0,28.266306,15.53,5.3333335,0,0,0.6,0,-2.4195,0,0,1,0,0,0,0.0,0
3,2026-01-22 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,14.080501,-1.6695,5.788833,-6.8802905,-2.7011266,-10.565027,41.083332,0.0,0.0,0.0,16.78156,14.71,47.375,0,1,0.6,0,-4.2695,0,0,0,0,0,1,0.5,0
3,2026-01-23 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,4.5305004,-10.0695,-0.41949996,-3.1213236,3.3805,-11.820762,83.416664,3.1,1.5000001,1.12,24.569836,1.23,82.541664,1,4,0.6,1,-12.6695,1,0,0,0,1,1,0.5,0
3,2026-01-24 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,-10.4695,-13.1195,-12.211167,-14.211373,-12.072533,-15.542762,85.041664,8.7,2.3,4.48,20.892412,3.46,99.958336,1,3,0.6,1,-15.7195,1,1,0,1,1,0,1.0,0
3,2026-01-25 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,-7.2194996,-13.8695,-11.284085,-14.291991,-10.618039,-17.02979,78.666664,2.8,0.49999994,1.6100001,20.519999,8.84,75.166664,1,3,0.6,1,-16.4695,1,1,0,1,1,0,1.0,0
3,2026-01-26 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,-2.3695,-20.5195,-12.246583,-15.432706,-6.599338,-25.735146,77.541664,0.0,0.0,0.0,16.454008,13.39,73.833336,1,4,0.6,1,-23.119500000000002,1,1,0,1,1,0,1.0,0
3,2026-01-27 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,6.0305004,-9.3195,-2.9507496,-9.0787735,-4.5788856,-14.768582,64.375,0.0,0.0,0.0,19.416653,12.62,32.708332,0,2,0.6,1,-11.9195,0,1,0,1,1,1,0.5,1
3,2026-01-28 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,10.4305,-9.7695,-0.28825,-8.656682,-5.7884073,-12.112703,58.041668,0.0,0.0,0.0,20.150354,16.4,7.6666665,0,2,0.6,1,-12.3695,0,0,0,0,0,1,0.5,0
3,2026-01-29 04:00:00+00:00,16,"[34, 82, 83, 84, 21, 22, 61]",33.54712990028518,-101.92787722969332,13.3805,1.7804999,6.338833,-6.224982,-3.69388,-9.056694,41.708332,0.0,0.0,0.0,27.402597,16.47,5.25,0,0,0.6,0,-0.8195001000000001,0,0,1,0,0,0,0.0,0
4,2026-01-21 04:00:00+00:00,6,"[0, 10, 5]",33.52910386464579,-101.8326836612473,13.1935,0.0935,5.49975,-8.8128805,-6.015778,-12.280615,36.416668,0.0,0.0,0.0,28.410364,15.59,4.875,0,0,0.6,0,-2.5065,0,0,1,0,0,0,0.0,0
