node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,prev_icy_base,strong_thaw,icy_persist,icy_label,partial_thaw,thaw_fraction,black_ice_risk
1,2026-01-21 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,7.5545,1.7544999,5.1794996,0.5939619,7.1087613,-11.072094,74.75,6.7000003,6.7000003,0.0,20.532627,1.11,63.875,1,1,0.0,0,-0.2455001000000001,0,0,1,0,0,0,0.0,0
1,2026-01-22 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,10.3545,-0.1455,4.721166,0.776427,3.5214643,-3.0032225,78.166664,0.0,0.0,0.0,16.563911,13.28,57.0,1,4,0.0,0,-2.1455,0,0,1,0,0,0,0.0,0
1,2026-01-23 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,3.9045,-4.1955,1.150333,-7.0255466,-2.158584,-14.701926,54.708332,0.0,0.0,0.0,26.141552,5.53,85.791664,0,1,0.0,0,-6.1955,0,0,0,0,0,1,0.5,0
1,2026-01-24 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,-3.9955,-10.195499,-8.028833,-11.516931,-8.958144,-17.68243,78.583336,23.999998,7.6999993,11.410001,27.238941,1.9,99.75,1,3,0.0,0,-12.195499,0,0,0,0,0,0,1.0,0
1,2026-01-25 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,-6.2955,-9.8955,-8.037166,-10.111346,-7.241248,-14.161987,85.25,27.400002,11.699999,10.990001,24.86868,6.66,89.333336,1,3,0.0,0,-11.8955,0,0,0,0,0,0,1.0,0
1,2026-01-26 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,-6.7454996,-13.695499,-9.962166,-16.658863,-13.487411,-19.801039,58.583332,0.0,0.0,0.0,15.459054,15.57,13.75,0,1,0.0,0,-15.695499,0,0,0,0,0,0,1.0,0
1,2026-01-27 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,1.7045,-12.0455,-5.1225834,-10.163352,-5.6828294,-19.474186,68.791664,0.0,0.0,0.0,22.657131,13.5,50.916668,0,2,0.0,0,-14.0455,0,0,0,0,0,1,0.5,0
1,2026-01-28 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,2.0045,-8.3455,-2.6829998,-8.548482,-4.986337,-11.961531,66.125,0.0,0.0,0.0,9.885262,14.27,45.041668,0,1,0.0,0,-10.3455,0,0,0,0,0,1,0.5,0
1,2026-01-29 04:00:00+00:00,2,[16],35.153353114103204,-90.09087345650984,5.7545004,-4.9455,-0.3913333,-5.7989,1.5206356,-10.842991,67.333336,0.0,0.0,0.0,15.124284,12.74,49.5,0,1,0.0,0,-6.9455,0,0,0,0,0,1,0.5,0
2,2026-01-21 04:00:00+00:00,12,"[2, 3, 73, 74, 76, 79, 81, 82]",35.1920523726948,-90.00827347007174,7.8780003,1.3779999,5.0175834,0.8209088,6.9718432,-10.149822,76.208336,7.2,7.2,0.0,18.72,1.11,61.208332,1,2,0.6,1,-1.2220000999999998,1,0,1,0,1,0,0.0,0
2,2026-01-22 04:00:00+00:00,12,"[2, 3, 73, 74, 76, 79, 81, 82]",35.1920523726948,-90.00827347007174,10.128,-0.472,4.6905,0.27767769,3.646699,-6.1190276,76.083336,0.0,0.0,0.0,16.039202,13.39,48.958332,1,4,0.6,1,-3.072,1,1,1,0,1,0,0.0,0
2,2026-01-23 04:00:00+00:00,12,"[2, 3, 73, 74, 76, 79, 81, 82]",35.1920523726948,-90.00827347007174,3.828,-3.572,0.9446666,-7.725187,-4.175566,-13.804948,52.5,0.0,0.0,0.0,26.727423,5.01,85.5,0,1,0.6,0,-6.172,0,1,0,1,1,1,0.5,1
